"plot";"x";"y";"year";"species_group";"species";"records"
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Anthornis melanura";5
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Turdus merula";1
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Fringilla coelebs";4
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Eudynamys taitensis";2
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Rhipidura fuliginosa";3
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Bowdleria punctata";1
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Carduelis chloris";1
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Ninox novaeseelandiae";12
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Hemiphaga novaeseelandiae";1
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Porphyrio melanotus";6
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Carduelis flammea";3
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Zosterops lateralis";5
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Petroica macrocephala";3
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Prosthemadera novaeseelandiae";2
"AA138";"1274032.4728";"5131414.91619999";"2015";"birds";"Gerygone igata";4
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Anthornis melanura";5
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Turdus merula";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Fringilla coelebs";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Eudynamys taitensis";5
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Falco novaeseelandiae";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Rhipidura fuliginosa";3
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Bowdleria punctata";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Carduelis chloris";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Ninox novaeseelandiae";75
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Haematopus spp";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Cyanoramphus spp";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Vanellus miles";4
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Vanellus miles";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Porphyrio melanotus";13
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Carduelis flammea";3
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Zosterops lateralis";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Petroica macrocephala";2
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Gerygone igata";2
"AA138";"1274032.4728";"5131414.91619999";"2020";"birds";"Gallirallus australis";2
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Anthornis melanura";1
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Turdus merula";6
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Fringilla coelebs";3
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Eudynamys taitensis";10
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Eudynamys taitensis";2
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Falco novaeseelandiae";1
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Rhipidura fuliginosa";2
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Rhipidura fuliginosa";3
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Circus approximans";1
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Nestor meridionalis";7
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Ninox novaeseelandiae";4
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Tadorna variegata";1
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Zosterops lateralis";9
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Turdus philomelos";6
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Petroica macrocephala";5
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Prosthemadera novaeseelandiae";15
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Gerygone igata";2
"AA139";"1274035.6177";"5123396.3342";"2014";"birds";"Gerygone igata";6
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Anthornis melanura";1
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Turdus merula";2
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Fringilla coelebs";1
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Mohoua novaeseelandiae";1
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Eudynamys taitensis";2
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Chrysococcyx lucidus";1
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Rhipidura fuliginosa";3
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Circus approximans";1
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Nestor notabilis";1
"AA139";"1274035.6177";"5123396.3342";"2019";"birds";"Todiramphus sanctus";1
