;Hemiphaga_novaeseelandiae;Anthornis_melanura;Zosterops_lateralis;Turdus_merula;Sturnus_vulgaris
Alectryon_excelsus;1;0;0;0;0
Aristotelia_serrata;1;1;1;1;0
Carpodetus_serratus;0;1;1;1;0
Coprosma_lucida;1;1;1;1;0
Coprosma_robusta;0;1;1;1;0
Coprosma_rotundifolia;0;1;1;0;0
Coprosma_rigida;0;0;1;1;0
Cordyline_australis;1;0;1;1;1
Coriaria_arborea;0;0;1;1;0
Corokia_cotoneaster;0;0;0;1;0
Cyathodes_fasciculata;0;0;1;1;0
Dacrycarpus_dacrydioides;1;1;0;0;1
Fuchsia_excorticata;1;1;1;1;1
Fuchsia_perscandens;0;1;0;0;0
Griselinia_littoralis;0;1;1;1;0
Hedycarya_arborea;1;0;0;0;0
Ileostylus_micranthus;0;1;0;1;0
Macropiper_excelsum;1;0;1;1;0
Melycitus_ramiflorus;1;1;1;1;0
Muehlenbeckia_australis;0;0;1;0;0
Myoporum_laetum;1;1;0;0;1
Myrsine_australis;0;0;0;1;0
Myrsine_divaricata;0;1;0;0;0
Myrtus_obcordata;0;1;1;0;0
Pennantia_corymbosa;1;1;0;1;0
Pittosporum_eugenioides;0;0;1;0;0
Podocarpus_hallii;1;1;1;0;0
Podocarpus_totara;1;1;0;0;0
Prumnopitys_taxifolia;1;1;0;0;0
Pseudopanax_arboreus;0;1;1;0;0
Pseudopanax_crassifolius;1;1;1;0;0
Pseudowintera_colorata;1;1;1;1;0
Rhopalostylis_sapida;1;0;0;0;0
Ripogonum_scandens;1;0;0;1;0
Rubus_cissoides;0;1;1;0;0
Rubus_squarrosus;0;1;1;0;0
Schefflera_digitata;1;1;1;1;0
Solanum_laciniatum;0;0;1;1;0
Streblus_heterophyllus;0;0;1;1;0
Tetrapathaea_tetrandra;0;0;1;1;0
Tupeia_antarctica;0;0;0;1;0
