"species";"guild";"status";"n";"trait";"mean.value";"sd.value"
"Acanthis_flammea";"birds";"Exotic";29;"Beak.Depth";6,45714285714286;0,700235439212891
"Acanthis_flammea";"birds";"Exotic";29;"Beak.Length_Culmen";11,3722222222222;0,56548319323395
"Acanthis_flammea";"birds";"Exotic";29;"Beak.Length_Nares";7,85;0,593142631934497
"Acanthis_flammea";"birds";"Exotic";29;"Beak.Width";4,48571428571429;0,557269638998439
"Acanthis_flammea";"birds";"Exotic";4;"BILL_LENGTH_mm";8,875;0,899536917900909
"Acanthis_flammea";"birds";"Exotic";4;"BILL_WIDTH_mm";5,725;0,736545993132812
"Acanthis_flammea";"birds";"Exotic";NA;"body.mass";NA;NA
"Acanthis_flammea";"birds";"Exotic";29;"Hand-wing.Index";33,1037037037037;1,5878096866878
"Acanthis_flammea";"birds";"Exotic";29;"Kipps.Distance";25,037037037037;1,55814192800472
"Acanthis_flammea";"birds";"Exotic";29;"Secondary1";50,74;2,57115408587921
"Acanthis_flammea";"birds";"Exotic";29;"Tail.Length";58,7222222222222;4,5251656525487
"Acanthis_flammea";"birds";"Exotic";29;"Tarsus.Length";15,6111111111111;1,87895117454921
"Acanthis_flammea";"birds";"Exotic";4;"WING_LENGTH_cm";6,6;0,115470053837925
"Acanthis_flammea";"birds";"Exotic";29;"Wing.Length";75,8172413793103;3,52603267198999
"Acanthisitta_chloris";"birds";"Native";6;"Beak.Depth";2,21666666666667;0,248327740429189
"Acanthisitta_chloris";"birds";"Native";6;"Beak.Length_Culmen";12,1166666666667;0,6431692364119
"Acanthisitta_chloris";"birds";"Native";6;"Beak.Length_Nares";6,325;0,727438428093173
"Acanthisitta_chloris";"birds";"Native";6;"Beak.Width";2,38333333333333;0,435507366948788
"Acanthisitta_chloris";"birds";"Native";4;"BILL_LENGTH_mm";12,65;0,957427107756338
"Acanthisitta_chloris";"birds";"Native";4;"BILL_WIDTH_mm";4,4;1,16045967903528
"Acanthisitta_chloris";"birds";"Native";NA;"body.mass";6,3;NA
"Acanthisitta_chloris";"birds";"Native";6;"Hand-wing.Index";13,925;1,62147052599382
"Acanthisitta_chloris";"birds";"Native";6;"Kipps.Distance";6,175;0,842120339777319
"Acanthisitta_chloris";"birds";"Native";6;"Secondary1";38,075;2,50516133878306
