"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";176,257564;-38,169463;2022;"NZL";"3455767602";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,681695;-43,55597;2022;"NZL";"3455828137";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";168,671829;-44,988098;2022;"NZL";"3456409123";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,839959;-42,522106;2022;"NZL";"3456516302";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";171,452604;-41,906308;2022;"NZL";"3456953107";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,990661;-44,174005;2022;"NZL";"3456984585";"iNaturalist";3
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,459883;-43,648357;2022;"NZL";"3465906655";"iNaturalist";165
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,599578;-43,526375;2022;"NZL";"3466130613";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";176,277358;-38,158436;2022;"NZL";"3466199893";"iNaturalist";50
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";171,373426;-43,311647;2022;"NZL";"3466234141";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,970232;-43,78403;2022;"NZL";"3466343306";"iNaturalist";7
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,665008;-43,561067;2022;"NZL";"3466390618";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";171,559429;-43,556697;2022;"NZL";"3466425862";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,632128;-43,535964;2022;"NZL";"3466532584";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";171,763943;-43,134794;2022;"NZL";"3499552558";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";167,611728;-45,569115;2022;"NZL";"3499590720";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,503597;-45,850302;2022;"NZL";"3747354355";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";168,543402;-45,111692;2022;"NZL";"3759831970";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";176,086831;-38,721404;2022;"NZL";"3468936488";"iNaturalist";714
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,648341;-45,851982;2022;"NZL";"3499396588";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,64745;-45,851627;2022;"NZL";"3499521177";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";169,419144;-46,584599;2022;"NZL";"3499659042";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,648459;-45,851627;2022;"NZL";"3698128455";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";176,274702;-38,157573;2022;"NZL";"3712652615";"iNaturalist";87
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,628756;-45,853614;2022;"NZL";"3712704169";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";176,12614;-37,699899;2022;"NZL";"3743013551";"iNaturalist";2
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,637256;-43,561142;2022;"NZL";"3747271086";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,644036;-45,851394;2022;"NZL";"3747400484";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,090119;-43,399121;2022;"NZL";"3759634903";"iNaturalist";8
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";168,831349;-44,902016;2022;"NZL";"3760056221";"iNaturalist";10143
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,500063;-45,850829;2022;"NZL";"3760075763";"iNaturalist";89
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";169,31932;-45,188233;2022;"NZL";"3760123539";"iNaturalist";6
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,806178;-43,759058;2022;"NZL";"3760349751";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,527432;-45,882433;2022;"NZL";"3764567285";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,619187;-43,555925;2022;"NZL";"3772462598";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,510782;-43,61471;2022;"NZL";"3772484258";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,626517;-43,558758;2022;"NZL";"3772499735";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,636372;-43,570371;2022;"NZL";"3772526000";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,637869;-43,561274;2022;"NZL";"3772531739";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,642308;-43,569524;2022;"NZL";"3772531775";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,483048;-43,68971;2022;"NZL";"3772572606";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,638603;-43,568459;2022;"NZL";"3772598266";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,497394;-45,84056;2022;"NZL";"3772600633";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,637322;-43,57567;2022;"NZL";"3772633347";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,649144;-43,552217;2022;"NZL";"3772648158";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";170,496604;-45,836461;2022;"NZL";"3772663006";"iNaturalist";24
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";168,297318;-46,428399;2022;"NZL";"3772709979";"iNaturalist";122
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,632896;-43,551434;2022;"NZL";"3772854370";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,638537;-43,567352;2022;"NZL";"3772930399";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,642531;-43,545403;2022;"NZL";"3772975957";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,632582;-43,530859;2022;"NZL";"3772994092";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,632087;-43,529765;2022;"NZL";"3772995004";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,642509;-43,540986;2022;"NZL";"3773051077";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,632603;-43,551154;2022;"NZL";"3773189059";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,549772;-43,606939;2022;"NZL";"3773214990";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,534187;-43,615095;2022;"NZL";"3773323418";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,543903;-43,606829;2022;"NZL";"3773356509";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,548277;-43,606899;2022;"NZL";"3773360472";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,560336;-43,599619;2022;"NZL";"3773362730";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,618333;-43,556389;2022;"NZL";"3773380311";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,646816;-43,562206;2022;"NZL";"3773471192";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,632958;-43,533209;2022;"NZL";"3773482994";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,626342;-43,55869;2022;"NZL";"3773484380";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,630142;-43,532068;2022;"NZL";"3773500266";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,643801;-43,550492;2022;"NZL";"3773512047";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,642213;-43,550174;2022;"NZL";"3773528583";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,642919;-43,550454;2022;"NZL";"3773536208";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,620763;-43,532039;2022;"NZL";"3773544122";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,635851;-43,572003;2022;"NZL";"3773555102";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,63489;-43,615117;2022;"NZL";"3773579719";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,494329;-43,62941;2022;"NZL";"3773624042";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,643732;-43,550484;2022;"NZL";"3773624707";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,643412;-43,55051;2022;"NZL";"3773679946";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,619339;-43,555947;2022;"NZL";"3773683552";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,485844;-43,640005;2022;"NZL";"3773730515";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,620603;-43,569303;2022;"NZL";"3773775799";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,623847;-43,569628;2022;"NZL";"3773784275";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,636412;-43,561719;2022;"NZL";"3772507576";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,628166;-43,574568;2022;"NZL";"3772523448";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,631089;-43,566506;2022;"NZL";"3772526104";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,620516;-43,566022;2022;"NZL";"3772563327";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,629042;-43,574148;2022;"NZL";"3772563333";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,628245;-43,574549;2022;"NZL";"3772579276";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,629112;-43,573939;2022;"NZL";"3772616531";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,629023;-43,574273;2022;"NZL";"3772695466";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Acer pseudoplatanus";172,626082;-43,572242;2022;"NZL";"3772760416";"iNaturalist";NA
