"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";168,61576;-46,554392;244;2022;"NZL";"3455596990";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,614716;-38,700203;NA;2022;"NZL";"3455957480";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";168,632926;-46,556871;244;2022;"NZL";"3456204475";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,40103;-42,379529;1602;2022;"NZL";"3456267958";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,404592;-40,899712;NA;2022;"NZL";"3457163035";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,620284;-39,238976;28121;2022;"NZL";"3457206633";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,162335;-40,932788;3;2022;"NZL";"3466130762";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";168,100848;-44,910566;68;2022;"NZL";"3466407794";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,559278;-42,911404;NA;2022;"NZL";"3466490676";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";166,197337;-50,541597;244;2022;"NZL";"3468888715";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";167,162237;-45,580458;NA;2022;"NZL";"3759128040";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,476491;-45,800869;360;2022;"NZL";"3468709750";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";169,426525;-46,578858;NA;2022;"NZL";"3499428913";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,628414;-38,551155;4;2022;"NZL";"3698111999";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,820378;-41,799029;NA;2022;"NZL";"3698189572";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,559295;-40,909763;156;2022;"NZL";"3698342697";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,820633;-41,799533;4;2022;"NZL";"3698368518";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,567393;-38,473278;NA;2022;"NZL";"3698397864";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,400352;-42,37822;490;2022;"NZL";"3712593586";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,464023;-45,752357;68;2022;"NZL";"3712694030";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,559737;-42,940767;92;2022;"NZL";"3743041483";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,551203;-42,931475;281;2022;"NZL";"3743326508";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,144177;-41,152505;8;2022;"NZL";"3747369430";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,405104;-39,286213;148;2022;"NZL";"3759491626";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,550843;-39,088332;NA;2022;"NZL";"3759702677";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,518326;-40,688506;207;2022;"NZL";"3760302025";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,525238;-39,331642;NA;2022;"NZL";"3772820117";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,883562;-42,182653;NA;2022;"NZL";"3773360873";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";169,431642;-46,535312;11;2022;"NZL";"3773746455";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";-176,502992;-43,979622;5;2022;"NZL";"3784645433";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,302667;-40,886449;188;2021;"NZL";"3018029212";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,604767;-43,029608;NA;2021;"NZL";"3031660272";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,48445;-45,801454;34;2021;"NZL";"3031818802";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,50231;-45,801437;49;2021;"NZL";"3031876752";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,490845;-45,801495;76;2021;"NZL";"3031895765";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,476906;-45,801447;277;2021;"NZL";"3031941719";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";173,364011;-41,346739;144;2021;"NZL";"3032165350";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,230295;-41,118965;15;2021;"NZL";"3039330316";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,229079;-41,117904;5;2021;"NZL";"3039401054";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,228882;-41,118117;8;2021;"NZL";"3039506337";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,508449;-39,191388;7796;2021;"NZL";"3301813699";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,144229;-41,152397;8;2021;"NZL";"3044605983";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";167,853266;-45,532575;5;2021;"NZL";"3044830215";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,565947;-38,474214;5;2021;"NZL";"3061605860";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";167,619247;-45,385273;183;2021;"NZL";"3090589070";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,162736;-38,694737;4;2021;"NZL";"3109042869";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,611283;-38,823557;4;2021;"NZL";"3109336378";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,502067;-45,801471;50;2021;"NZL";"3112311518";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,381972;-38,89632;3;2021;"NZL";"3118394692";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,509078;-38,229912;4;2021;"NZL";"3124585673";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,50882;-38,231053;4;2021;"NZL";"3124647837";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,457653;-45,835739;74;2021;"NZL";"3301988883";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,401257;-42,37897;9;2021;"NZL";"3314202234";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,476484;-45,797791;120;2021;"NZL";"3333163239";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,246524;-41,073599;120;2021;"NZL";"3384374594";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,502413;-39,319361;66;2021;"NZL";"3384970388";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,900969;-40,981699;NA;2021;"NZL";"3384994488";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,228915;-41,117715;204;2021;"NZL";"3385149446";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,532958;-38,852956;4;2021;"NZL";"3391357009";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,528886;-38,873917;4;2021;"NZL";"3391423851";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,2529;-38,933086;4;2021;"NZL";"3391507884";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,527406;-38,879081;4;2021;"NZL";"3391623870";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,146875;-41,142569;7;2021;"NZL";"3398838839";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,143656;-41,150512;3;2021;"NZL";"3399340824";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";174,988525;-41,334436;212;2021;"NZL";"3407982858";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,991432;-41,730857;NA;2021;"NZL";"3408111956";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,498894;-45,801491;29;2021;"NZL";"3408186220";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,628113;-38,551483;4;2021;"NZL";"3455390406";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,556645;-42,898356;195;2021;"NZL";"3455736095";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";166,068727;-50,809347;471;2021;"NZL";"3455774036";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";166,281009;-50,492674;NA;2021;"NZL";"3455968449";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";168,129486;-44,812102;NA;2021;"NZL";"3455971228";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,558595;-42,898612;195;2021;"NZL";"3456064951";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,559746;-39,200823;NA;2021;"NZL";"3456576114";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,628495;-38,551238;4;2021;"NZL";"3456590601";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";166,208627;-50,544343;NA;2020;"NZL";"2563547122";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";171,777222;-42,774336;15;2020;"NZL";"2563636162";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";166,144409;-50,704135;972;2020;"NZL";"2574038668";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";167,85365;-45,532222;6;2020;"NZL";"2573871398";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,580833;-38,437775;6129;2020;"NZL";"2573997920";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,145;-41,153611;NA;2020;"NZL";"2574057000";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,766504;-39,167205;NA;2020;"NZL";"2574159124";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,384095;-42,471633;NA;2020;"NZL";"2574304467";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";167,853479;-45,532565;NA;2020;"NZL";"2626335575";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";167,478134;-45,744995;122;2020;"NZL";"2634030095";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";172,401703;-42,380146;175;2020;"NZL";"2826338615";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";170,458176;-45,835707;88;2020;"NZL";"2859894593";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";175,14354;-41,150077;78;2020;"NZL";"2864620916";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";169,799027;-45,862238;NA;2020;"NZL";"2963891647";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";168,506279;-46,589233;16721;2020;"NZL";"2980913312";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Androstoma empetrifolia";176,3956;-38,886783;5;2020;"NZL";"2980971115";"iNaturalist"
