"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";175,621399;-38,69854;2022;"NZL";"3456118550";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";170,16325;-43,697818;2022;"NZL";"3456217090";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";170,16325;-43,697818;2022;"NZL";"3456360401";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";169,804573;-44,246675;2022;"NZL";"3456740415";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";175,723162;-39,64642;2022;"NZL";"3456750787";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";175,50685;-39,233442;2022;"NZL";"3456961117";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";171,707404;-43,11553;2022;"NZL";"3466070761";"iNaturalist";182
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";169,817858;-44,104013;2022;"NZL";"3466259242";"iNaturalist";2821
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";170,463663;-43,993106;2022;"NZL";"3466409547";"iNaturalist";200
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";170,097597;-43,771417;2022;"NZL";"3466418035";"iNaturalist";1200
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";169,816987;-44,107193;2022;"NZL";"3466504568";"iNaturalist";3574
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";169,35381;-45,298558;2022;"NZL";"3468790068";"iNaturalist";8
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";172,658805;-41,177711;2022;"NZL";"3468844102";"iNaturalist";7
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";172,607225;-41,145526;2022;"NZL";"3468963390";"iNaturalist";6
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Aristotelia fruticosa";172,803619;-41,137369;2022;"NZL";"3499580413";"iNaturalist";NA
