"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";175,391396;-36,695663;16;2022;"NZL";"3456981709";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,687875;-36,932118;100;2022;"NZL";"3466039952";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,725216;-36,489543;100;2022;"NZL";"3466199746";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";176,253318;-37,296275;15;2022;"NZL";"3466215950";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,590028;-38,819408;4;2022;"NZL";"3712527500";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";175,460531;-36,233539;8;2022;"NZL";"3499430271";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,695265;-36,815895;24;2022;"NZL";"3499577127";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,546055;-35,612006;48;2022;"NZL";"3698139268";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,707153;-35,957725;NA;2022;"NZL";"3743316038";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,856857;-36,784494;NA;2022;"NZL";"3759343287";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,695466;-36,816153;13;2022;"NZL";"3759461159";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,858624;-36,794785;3;2022;"NZL";"3759704305";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,790938;-36,625243;105;2022;"NZL";"3759814463";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,858621;-36,793972;70;2022;"NZL";"3760215325";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,442255;-36,891161;20;2021;"NZL";"3031751746";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,442225;-36,891178;31;2021;"NZL";"3032084798";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,442317;-36,891153;31;2021;"NZL";"3032090815";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,604022;-37,009377;228;2021;"NZL";"3044719129";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,461737;-35,53371;31;2021;"NZL";"3124561882";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";175,983254;-37,464742;2328;2021;"NZL";"3039358880";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";175,7789;-36,594987;5;2021;"NZL";"3039364162";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,468298;-36,96973;191;2021;"NZL";"3044642283";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";175,777457;-36,586705;NA;2021;"NZL";"3044785088";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,167841;-35,231781;4;2021;"NZL";"3058731775";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,858791;-36,797053;10;2021;"NZL";"3058849846";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,542102;-35,611592;6;2021;"NZL";"3058909866";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";175,88192;-37,104112;8;2021;"NZL";"3059124690";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,69549;-36,815443;7;2021;"NZL";"3059132900";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,217003;-35,206702;4;2021;"NZL";"3061526190";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,893329;-36,786113;6;2021;"NZL";"3061793747";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Astelia banksii";174,219161;-35,207285;4;2021;"NZL";"3061798660";"iNaturalist"
