"grid_id";"species";"year";"gbifID";"lat";"lon"
1;"Coprosma fowerakeri";2016;"1453329088";-45,788731;167,425632
2;"Coprosma fowerakeri";2020;"2573888909";-45,70016;167,845961
2;"Coprosma fowerakeri";2020;"2574218455";-45,70672;167,851384
15;"Coprosma fowerakeri";2021;"3044725314";-45,381877;167,593724
15;"Coprosma fowerakeri";2021;"3398896931";-45,643843;167,470241
15;"Coprosma fowerakeri";2021;"3415838570";-45,383693;167,596298
15;"Coprosma fowerakeri";2020;"2596171810";-45,385883;167,595974
15;"Coprosma fowerakeri";2015;"1212001936";-45,356126;168,383589
15;"Coprosma fowerakeri";1980;"1313435890";-45,1038;168,0543
15;"Coprosma fowerakeri";1980;"1313436413";-45,1038;168,0543
15;"Coprosma fowerakeri";NA;"1897627331";-45,3;167,666667
16;"Coprosma fowerakeri";2018;"1990507563";-44,726203;168,483069
16;"Coprosma fowerakeri";2014;"1038319662";-45,12405;168,855572
17;"Coprosma fowerakeri";2018;"1806357450";-44,90779;170,075234
28;"Coprosma fowerakeri";2007;"1889941899";-44,6003;168,215
29;"Coprosma fowerakeri";2017;"1640091910";-44,420649;168,679093
29;"Coprosma fowerakeri";2012;"2237538486";-44,396198;168,934965
29;"Coprosma fowerakeri";2007;"1889941693";-44,0329;169,3909
29;"Coprosma fowerakeri";2007;"1889942224";-44,2938;168,8692
29;"Coprosma fowerakeri";2007;"1889942358";-44,1686;168,8058
30;"Coprosma fowerakeri";2021;"3032160216";-43,714573;170,073785
30;"Coprosma fowerakeri";2021;"3079880493";-44,038053;170,065699
30;"Coprosma fowerakeri";2020;"2563527476";-44,2384;169,757392
30;"Coprosma fowerakeri";2014;"1038320396";-43,971747;169,730422
30;"Coprosma fowerakeri";2013;"1038314165";-44,200359;169,715981
30;"Coprosma fowerakeri";1986;"1312451567";-43,6919;170,1419
43;"Coprosma fowerakeri";2020;"2988483076";-43,649851;170,175933
43;"Coprosma fowerakeri";2019;"1993727547";-43,506854;170,011023
43;"Coprosma fowerakeri";2016;"1338494843";-43,639576;170,180252
44;"Coprosma fowerakeri";1991;"1312401882";-43,4865;170,6993
44;"Coprosma fowerakeri";1991;"1312401922";-43,4857;170,6981
44;"Coprosma fowerakeri";1991;"1312402010";-43,4832;170,6914
44;"Coprosma fowerakeri";1991;"1312402134";-43,5013;170,6991
44;"Coprosma fowerakeri";1991;"1312402176";-43,5054;170,6967
44;"Coprosma fowerakeri";1991;"1312402413";-43,4906;170,6913
44;"Coprosma fowerakeri";1991;"1312402477";-43,4898;170,6902
44;"Coprosma fowerakeri";1991;"1312402520";-43,4881;170,6913
44;"Coprosma fowerakeri";1991;"1312402545";-43,4898;170,6902
44;"Coprosma fowerakeri";1991;"1312402839";-43,501;170,6505
44;"Coprosma fowerakeri";1991;"1312403225";-43,4919;170,6449
44;"Coprosma fowerakeri";1991;"1091327025";-43,378053;170,665147
44;"Coprosma fowerakeri";1991;"1312404117";-43,4954;170,672
44;"Coprosma fowerakeri";1991;"1312404260";-43,4921;170,6743
44;"Coprosma fowerakeri";1991;"1312404300";-43,4922;170,6845
44;"Coprosma fowerakeri";1991;"1312404354";-43,4938;170,6867
44;"Coprosma fowerakeri";1991;"1312404410";-43,4947;170,6856
44;"Coprosma fowerakeri";1991;"1312404466";-43,4938;170,6856
44;"Coprosma fowerakeri";1991;"1312405336";-43,4904;170,6709
44;"Coprosma fowerakeri";1986;"1312917139";-42,8915;171,2298
44;"Coprosma fowerakeri";1985;"1312920782";-43,2742;170,5883
44;"Coprosma fowerakeri";1985;"1312920906";-43,2551;170,5706
44;"Coprosma fowerakeri";1985;"1312921149";-43,2501;170,5605
44;"Coprosma fowerakeri";1985;"1312921173";-43,2517;170,5582
44;"Coprosma fowerakeri";1985;"1312921213";-43,2541;170,5537
44;"Coprosma fowerakeri";1985;"1312922505";-43,1446;170,7622
44;"Coprosma fowerakeri";1985;"1312922523";-43,1454;170,7644
44;"Coprosma fowerakeri";1985;"1312922658";-43,1198;170,7456
44;"Coprosma fowerakeri";1985;"1312922705";-43,1198;170,7479
44;"Coprosma fowerakeri";1985;"1312923190";-43,0578;170,8429
44;"Coprosma fowerakeri";1985;"1312923254";-43,0603;170,844
44;"Coprosma fowerakeri";1985;"1312494289";-43,0506;170,8711
44;"Coprosma fowerakeri";1985;"1312611677";-43,027;170,9285
44;"Coprosma fowerakeri";1985;"1312921698";-43,0736;171,0392
44;"Coprosma fowerakeri";1985;"1312928075";-43,0678;171,0258
44;"Coprosma fowerakeri";1985;"1312928199";-43,0669;171,0224
44;"Coprosma fowerakeri";1984;"1312956949";-42,7896;171,3397
44;"Coprosma fowerakeri";1963;"1312904732";-42,8908;171,3171
44;"Coprosma fowerakeri";NA;"1843400340";-43,633333;171,316667
45;"Coprosma fowerakeri";2021;"3039332992";-43,295141;171,742018
45;"Coprosma fowerakeri";2021;"3044777923";-42,941859;171,537564
45;"Coprosma fowerakeri";2021;"3058959182";-42,908315;171,559164
45;"Coprosma fowerakeri";2020;"2573938136";-43,034295;171,786257
45;"Coprosma fowerakeri";2020;"2579359576";-42,956562;171,558303
45;"Coprosma fowerakeri";2020;"2626340871";-42,907368;171,582524
45;"Coprosma fowerakeri";2020;"3017947092";-43,135573;171,721809
45;"Coprosma fowerakeri";2018;"3314444231";-43,296175;171,741127
45;"Coprosma fowerakeri";2017;"1699400367";-43,296043;171,741191
45;"Coprosma fowerakeri";2017;"1699400436";-43,296043;171,741191
45;"Coprosma fowerakeri";2017;"1699401698";-43,296043;171,741191
45;"Coprosma fowerakeri";2017;"1699401875";-43,296043;171,741191
45;"Coprosma fowerakeri";2017;"1699403258";-43,296043;171,741191
45;"Coprosma fowerakeri";2017;"1640106922";-43,294167;171,742778
45;"Coprosma fowerakeri";2017;"1802673562";-42,936685;171,517988
45;"Coprosma fowerakeri";2017;"1802700024";-43,136371;171,721675
45;"Coprosma fowerakeri";2013;"3418537313";-42,809679;171,655547
