"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";177,786646;-37,808666;2;2022;"NZL";"3455571259";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";176,279654;-38,169818;NA;2022;"NZL";"3455592708";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,668327;-37,06546;5;2022;"NZL";"3455834190";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,637458;-36,899984;4;2022;"NZL";"3455852451";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";178,102336;-38,665751;4;2022;"NZL";"3456007189";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,353272;-41,419597;123;2022;"NZL";"3456087348";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,398987;-38,99598;4;2022;"NZL";"3456150706";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";173,600747;-35,376302;15;2022;"NZL";"3456172731";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";177,162706;-37,991015;8;2022;"NZL";"3456180256";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";177,701852;-37,801987;1;2022;"NZL";"3456464937";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";166,909273;-45,637755;312;2022;"NZL";"3456503449";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";172,764306;-43,766671;NA;2022;"NZL";"3456698760";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,672226;-38,69725;NA;2022;"NZL";"3456882736";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,562133;-38,012128;4;2022;"NZL";"3456923575";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";172,064213;-43,244841;122;2022;"NZL";"3457190939";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Coriaria arborea";175,602737;-38,446563;4;2022;"NZL";"3457209098";"iNaturalist"
