"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,254522;-41,152444;27847;2022;"NZL";"3457192523";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,23119;-41,164528;NA;2021;"NZL";"3505460458";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3506074425";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3512939662";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,22818;-41,177666;NA;2021;"NZL";"3552364172";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3586735598";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,23367;-41,170387;NA;2021;"NZL";"3625778955";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,23605;-41,15844;NA;2021;"NZL";"3661056667";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,23367;-41,170387;NA;2021;"NZL";"3671324674";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3508814127";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3541446941";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3542617159";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3594600520";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3598901992";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3606232306";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3609817164";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3616032115";"CLO"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Cyanoramphus malherbi";174,2402;-41,17112;NA;2021;"NZL";"3647755919";"CLO"
