"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,033157;-40,957768;4;2022;"NZL";"3455478034";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,036677;-40,951777;15;2022;"NZL";"3455570768";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,032282;-40,951898;10;2022;"NZL";"3455601925";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,550995;-36,80603;7;2022;"NZL";"3455638175";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";173,302319;-41,312231;874;2022;"NZL";"3455750234";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,036709;-40,951733;15;2022;"NZL";"3455777682";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,694258;-38,641347;4;2022;"NZL";"3455891235";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,566039;-38,007063;61;2022;"NZL";"3455916985";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,007538;-40,899315;NA;2022;"NZL";"3455928406";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,032578;-40,952087;NA;2022;"NZL";"3455957083";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,036687;-40,951645;15;2022;"NZL";"3456091408";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus dentatus";175,033611;-40,953026;NA;2022;"NZL";"3456186372";"iNaturalist"
