"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,055694;-38,509592;8;2022;"NZL";"3455704416";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";173,301108;-41,328755;1350;2022;"NZL";"3455749149";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";172,686322;-41,143448;24;2022;"NZL";"3455900962";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,722213;-39,647255;4;2022;"NZL";"3456469191";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";172,227836;-42,342156;NA;2022;"NZL";"3456585215";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";172,849255;-41,831347;4952;2022;"NZL";"3456713962";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,055497;-38,510222;4;2022;"NZL";"3456746752";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";166,573122;-45,794782;275;2022;"NZL";"3456755817";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,722105;-39,647267;4;2022;"NZL";"3456771592";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,339396;-38,326707;579;2022;"NZL";"3456941102";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,601649;-38,889983;4;2022;"NZL";"3457122838";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";172,686981;-43,493263;1899;2022;"NZL";"3457196047";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";175,456361;-39,429214;7774;2022;"NZL";"3466181826";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";177,544983;-38,255822;4;2022;"NZL";"3466348873";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";174,821656;-38,84515;43;2022;"NZL";"3466373435";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";177,680983;-38,639708;15;2022;"NZL";"3466539028";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Elaeocarpus hookerianus";166,733723;-45,720515;144;2022;"NZL";"3468775876";"iNaturalist"
