"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";167,991576;-44,626691;23;2022;"NZL";"3455587233";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,765245;-43,766762;NA;2022;"NZL";"3455635377";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,528185;-43,548409;15;2022;"NZL";"3455637628";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,464183;-43,68179;10;2022;"NZL";"3455707589";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,56212;-38,016725;4;2022;"NZL";"3455735110";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,561937;-38,0167;4;2022;"NZL";"3455755052";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,64995;-40,952279;2279;2022;"NZL";"3456108261";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,424315;-45,427281;4;2022;"NZL";"3456115488";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,102491;-43,716931;NA;2022;"NZL";"3456159829";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,546449;-38,85991;4;2022;"NZL";"3456240152";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,343812;-38,932255;4;2022;"NZL";"3456240288";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";169,234741;-44,229469;NA;2022;"NZL";"3456255465";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,722595;-39,646892;5;2022;"NZL";"3456423111";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,646372;-43,510249;65;2022;"NZL";"3456494434";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,40048;-42,378339;8;2022;"NZL";"3456605548";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,100303;-44,858705;7;2022;"NZL";"3456777350";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,622762;-45,875468;NA;2022;"NZL";"3456899434";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,037299;-40,956969;4;2022;"NZL";"3456931388";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,561844;-42,929577;51;2022;"NZL";"3457188884";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,140888;-40,929539;4;2022;"NZL";"3465927975";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,175267;-39,78894;76;2022;"NZL";"3465937017";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,142107;-46,894395;NA;2022;"NZL";"3465942818";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,079107;-43,714071;NA;2022;"NZL";"3465995244";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,719712;-41,627945;NA;2022;"NZL";"3466033249";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";166,532132;-45,751273;NA;2022;"NZL";"3466070627";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";177,543595;-38,258167;4;2022;"NZL";"3466107006";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,569256;-41,838822;36;2022;"NZL";"3466130749";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,683526;-43,546446;NA;2022;"NZL";"3466134982";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,142107;-46,894395;NA;2022;"NZL";"3466150987";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";177,54445;-38,257058;5;2022;"NZL";"3466298063";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,552241;-43,534323;NA;2022;"NZL";"3466407623";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,559429;-43,556697;NA;2022;"NZL";"3466418428";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,53695;-43,534925;NA;2022;"NZL";"3466457551";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,558841;-43,557058;NA;2022;"NZL";"3466487809";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";166,733594;-45,718538;187;2022;"NZL";"3468752728";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,311022;-41,317549;31;2022;"NZL";"3499362781";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,412702;-42,360299;NA;2022;"NZL";"3499493883";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";167,15085;-45,457583;NA;2022;"NZL";"3499565750";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,091972;-37,993516;8;2022;"NZL";"3466332804";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,830164;-41,384609;8;2022;"NZL";"3468817794";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,830421;-41,384684;4;2022;"NZL";"3468886200";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,575958;-38,018817;4;2022;"NZL";"3469040652";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,56903;-43,586628;10;2022;"NZL";"3469045998";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,057969;-38,037936;10;2022;"NZL";"3499382662";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,572212;-38,016161;31;2022;"NZL";"3499405586";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,049272;-40,865858;329;2022;"NZL";"3499555659";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,399763;-39,404762;4608;2022;"NZL";"3499586820";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,567236;-45,807507;4;2022;"NZL";"3499664767";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,630997;-38,547633;4;2022;"NZL";"3698102830";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,628381;-38,551206;4;2022;"NZL";"3698126934";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,701155;-38,56758;4;2022;"NZL";"3698151011";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,585453;-37,031615;10;2022;"NZL";"3705386181";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,503891;-36,737129;35;2022;"NZL";"3705686524";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,566322;-38,035218;15;2022;"NZL";"3705505146";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,894528;-43,454621;3;2022;"NZL";"3712506754";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,736146;-37,539752;161;2022;"NZL";"3712578002";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,52672;-39,185;4;2022;"NZL";"3742971613";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,757447;-43,774958;18;2022;"NZL";"3743061702";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,528838;-39,187272;4;2022;"NZL";"3743193561";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,696367;-36,901255;12;2022;"NZL";"3743203681";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,759834;-45,530472;2;2022;"NZL";"3743326922";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,253289;-43,888768;354;2022;"NZL";"3747096519";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,723333;-44,491389;NA;2022;"NZL";"3747167589";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,582653;-43,525427;7;2022;"NZL";"3747183000";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,498047;-45,849548;19;2022;"NZL";"3759616260";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";169,904932;-45,667778;13;2022;"NZL";"3759233025";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,050509;-39,234679;15;2022;"NZL";"3759312884";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,449172;-41,650605;9;2022;"NZL";"3759342810";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,801833;-43,029432;276;2022;"NZL";"3759343642";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,886364;-45,141389;17;2022;"NZL";"3759350627";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,607351;-43,662557;NA;2022;"NZL";"3759359542";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,590753;-42,982993;60;2022;"NZL";"3759439625";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,403612;-39,234812;4;2022;"NZL";"3759558374";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";177,99436;-37,882118;1;2022;"NZL";"3759911123";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,014206;-38,204137;4;2022;"NZL";"3759964293";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,926106;-36,949308;42;2022;"NZL";"3759969012";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,391647;-42,517902;NA;2022;"NZL";"3759999275";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,562703;-38,511658;16;2022;"NZL";"3760088582";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,780477;-43,029208;387;2022;"NZL";"3760114567";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,63533;-43,383197;NA;2022;"NZL";"3760117291";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,698137;-43,55493;68;2022;"NZL";"3760220384";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,610503;-36,826542;15;2022;"NZL";"3760267900";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,019775;-38,2029;4;2022;"NZL";"3760296691";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,62696;-45,846061;1530;2022;"NZL";"3764212733";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,900644;-39,508926;3;2022;"NZL";"3764334318";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";169,812743;-46,447028;2;2022;"NZL";"3764350813";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,776581;-43,645917;4;2022;"NZL";"3764487736";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,429691;-41,074965;5;2022;"NZL";"3764513838";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,528935;-45,881461;8;2022;"NZL";"3764639383";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,627821;-43,560387;NA;2022;"NZL";"3772423965";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,49704;-45,840522;4;2022;"NZL";"3772445601";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,557679;-43,560597;8;2022;"NZL";"3772660128";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,899784;-39,512101;4;2022;"NZL";"3772798619";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,520569;-39,342438;NA;2022;"NZL";"3772845939";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,590942;-42,982547;4;2022;"NZL";"3773014619";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,357925;-46,4057;5;2022;"NZL";"3773023676";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,662645;-43,572953;8;2022;"NZL";"3773064610";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,834435;-39,527172;4;2022;"NZL";"3773066143";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,131638;-41,56464;NA;2022;"NZL";"3773131600";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,625023;-43,631683;8;2022;"NZL";"3773156013";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,62397;-43,639748;6;2022;"NZL";"3773194834";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,624984;-43,631776;4;2022;"NZL";"3773302612";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,031304;-43,810208;NA;2022;"NZL";"3773364748";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,934433;-43,293745;4;2022;"NZL";"3773390894";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,221283;-37,675674;NA;2022;"NZL";"3773507962";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,436318;-42,883021;244;2022;"NZL";"3773525543";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,591155;-42,981822;17;2022;"NZL";"3773636754";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,862182;-39,60221;4;2022;"NZL";"3772464585";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,614254;-43,660394;940;2022;"NZL";"3772473427";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,888847;-37,202192;323;2022;"NZL";"3772492769";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,92917;-41,182842;5;2022;"NZL";"3772498390";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,774344;-43,646474;14;2022;"NZL";"3772536330";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";174,9461;-37,294865;NA;2022;"NZL";"3772583263";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,561029;-43,560576;8;2022;"NZL";"3772871360";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,510463;-45,855031;4;2022;"NZL";"3772910546";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,44579;-40,857825;735;2022;"NZL";"3772928753";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,617092;-43,572115;NA;2022;"NZL";"3772942473";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,636305;-43,527581;NA;2022;"NZL";"3773000000";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,251419;-38,93465;34;2022;"NZL";"3773016952";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,723264;-43,588255;26;2022;"NZL";"3773044186";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,636128;-43,527601;NA;2022;"NZL";"3773148508";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,650933;-43,603639;NA;2022;"NZL";"3773151380";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,616991;-43,572054;NA;2022;"NZL";"3773250514";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,617156;-43,571817;NA;2022;"NZL";"3773287728";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,708503;-43,433045;2126;2022;"NZL";"3773302780";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,302356;-46,429559;31;2022;"NZL";"3773428166";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,442805;-40,856461;735;2022;"NZL";"3773552428";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,981868;-39,201265;NA;2022;"NZL";"3773571569";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,654017;-43,603731;NA;2022;"NZL";"3773605096";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,299362;-41,272572;NA;2022;"NZL";"3773672305";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,411165;-39,409848;7;2022;"NZL";"3773722554";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,519473;-45,805416;4;2022;"NZL";"3773759303";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,64862;-43,604999;NA;2022;"NZL";"3773775532";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,724716;-41,200504;7;2021;"NZL";"3018012623";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";169,101547;-46,653876;3020;2021;"NZL";"3018056273";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,637135;-43,61889;64;2021;"NZL";"3018107635";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,84;-41,8;NA;2021;"NZL";"3018135173";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,741683;-37,534272;NA;2021;"NZL";"3031698707";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,717032;-42,709713;4;2021;"NZL";"3031699034";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";173,249423;-41,784441;NA;2021;"NZL";"3031702899";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,78082;-44,923209;30;2021;"NZL";"3031745315";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,863449;-44,418535;100;2021;"NZL";"3031750745";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,115987;-46,889594;110;2021;"NZL";"3031764386";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,743194;-37,532539;5;2021;"NZL";"3031788788";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,14199;-41,269969;193;2021;"NZL";"3031807231";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,82498;-44,949612;7547;2021;"NZL";"3031831247";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,603625;-45,776918;164;2021;"NZL";"3031845402";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,348433;-38,994136;5;2021;"NZL";"3031855284";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,210158;-39,147053;4;2021;"NZL";"3031903143";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,853955;-45,360007;24;2021;"NZL";"3031992477";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";169,284364;-44,159365;373;2021;"NZL";"3039142042";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,469623;-39,181729;250;2021;"NZL";"3039284097";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";176,287898;-39,144234;71;2021;"NZL";"3039412578";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,556754;-43,123553;8;2021;"NZL";"3044570266";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,556776;-43,123549;8;2021;"NZL";"3044593285";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,556711;-43,123498;8;2021;"NZL";"3044801318";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";177,16169;-38,672474;1825;2021;"NZL";"3079513143";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";168,081633;-44,891323;NA;2021;"NZL";"3097416538";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,091278;-37,994219;5;2021;"NZL";"3039134225";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,271713;-42,714311;24;2021;"NZL";"3039211771";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";171,560998;-42,932881;8;2021;"NZL";"3039216099";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,058851;-43,359042;357;2021;"NZL";"3039234542";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,057079;-43,358814;8;2021;"NZL";"3039281483";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,061091;-43,359189;357;2021;"NZL";"3039290582";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,27084;-42,713009;12;2021;"NZL";"3039322756";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,02141;-40,958614;4;2021;"NZL";"3039323623";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,813067;-41,877083;61;2021;"NZL";"3039353960";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,057959;-43,358509;357;2021;"NZL";"3039433538";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,577543;-45,769796;204;2021;"NZL";"3039441751";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,059569;-43,359001;357;2021;"NZL";"3039462582";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,059204;-43,359047;1765;2021;"NZL";"3039478601";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,05842;-43,35876;357;2021;"NZL";"3039488491";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,057965;-43,358755;65;2021;"NZL";"3039496838";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";170,532517;-45,838245;10;2021;"NZL";"3039510734";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,858457;-41,121548;4;2021;"NZL";"3044598229";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,831917;-41,797014;1600;2021;"NZL";"3044607968";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";175,721537;-40,10733;65;2021;"NZL";"3044621073";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Griselinia littoralis";172,27071;-42,713126;16;2021;"NZL";"3044641882";"iNaturalist"
