"grid_id";"species";"year";"gbifID";"lat";"lon"
5;"Ligustrum ovalifolium";2020;"2901581960";-45,848455;170,515957
30;"Ligustrum ovalifolium";2015;"1091096158";-44,236151;169,818671
44;"Ligustrum ovalifolium";1983;"1091101355";-42,816212;171,410178
44;"Ligustrum ovalifolium";1983;"1091127386";-42,816212;171,410178
44;"Ligustrum ovalifolium";1976;"1091306549";-42,72133;170,9531
46;"Ligustrum ovalifolium";2021;"3018028782";-43,397011;172,701385
46;"Ligustrum ovalifolium";2014;"3113509303";-43,314949;172,658848
46;"Ligustrum ovalifolium";NA;"1897633485";-43,65;172,466667
46;"Ligustrum ovalifolium";NA;"1897829826";-43,516667;172,666667
57;"Ligustrum ovalifolium";2020;"2984458350";-42,106537;171,337451
57;"Ligustrum ovalifolium";2019;"2251828821";-42,512398;171,165088
57;"Ligustrum ovalifolium";1985;"1091097542";-42,211821;171,329898
58;"Ligustrum ovalifolium";2021;"3408202667";-41,779276;171,456869
58;"Ligustrum ovalifolium";2017;"2456657611";-41,746814;171,564184
60;"Ligustrum ovalifolium";NA;"1897787600";-42,274722;173,738611
71;"Ligustrum ovalifolium";1985;"1091310398";-41,262;172,132
74;"Ligustrum ovalifolium";1953;"1091198085";-41,115693;175,096041
74;"Ligustrum ovalifolium";NA;"1843398085";-41,283333;174,966667
87;"Ligustrum ovalifolium";NA;"1897637058";-40,633333;175,283333
99;"Ligustrum ovalifolium";1969;"1091325495";-39,295515;174,21533
126;"Ligustrum ovalifolium";1982;"1091278626";-36,729986;174,691505
126;"Ligustrum ovalifolium";1981;"1091127587";-36,691047;174,561816
126;"Ligustrum ovalifolium";1981;"1091143559";-36,691047;174,561816
126;"Ligustrum ovalifolium";NA;"1897634686";-36,883333;174,8
126;"Ligustrum ovalifolium";NA;"1897673048";-36,916667;174,733333
126;"Ligustrum ovalifolium";NA;"1897675645";-36,883333;174,75
126;"Ligustrum ovalifolium";NA;"1897679644";-36,883333;174,7
126;"Ligustrum ovalifolium";NA;"1897682662";-36,716667;174,716667
126;"Ligustrum ovalifolium";NA;"1897736079";-36,883333;174,8
126;"Ligustrum ovalifolium";NA;"1897759997";-36,716667;174,716667
126;"Ligustrum ovalifolium";NA;"1897772335";-36,9;174,8
126;"Ligustrum ovalifolium";NA;"1897834993";-36,713194;174,715306
151;"Ligustrum ovalifolium";1979;"675232330";-35,35;173,53333
151;"Ligustrum ovalifolium";NA;"1897745560";-35,3;174,1
151;"Ligustrum ovalifolium";NA;"1897763503";-35,3;174,1
152;"Ligustrum ovalifolium";NA;"1843422851";-35,548056;174,429167
