"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";177,16775;-37,992573;15;2022;"NZL";"3455672949";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,537921;-37,983297;245;2022;"NZL";"3455694230";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,774767;-36,855962;13;2022;"NZL";"3455828167";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,301303;-35,70014;28649;2022;"NZL";"3456030880";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,861731;-37,791825;20;2022;"NZL";"3456112431";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";177,16683;-37,988446;8;2022;"NZL";"3456172002";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,537921;-37,983297;245;2022;"NZL";"3456300409";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,069249;-37,77218;8;2022;"NZL";"3465889045";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,911379;-37,880563;195;2022;"NZL";"3466090148";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,075776;-39,080958;42;2022;"NZL";"3466465053";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,098328;-37,673412;13;2022;"NZL";"3468783584";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,047592;-38,038228;9;2022;"NZL";"3466212826";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,578003;-37,99958;17;2022;"NZL";"3468718885";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,962172;-38,043531;4;2022;"NZL";"3468990465";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,796621;-37,873719;8;2022;"NZL";"3698275425";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";173,289561;-35,271276;28706;2022;"NZL";"3705412640";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,754142;-37,878649;28329;2022;"NZL";"3743080885";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,320214;-37,948665;28329;2022;"NZL";"3743155429";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,075761;-38,267608;57;2022;"NZL";"3743173566";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,119584;-37,966636;15;2022;"NZL";"3747068894";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";176,004914;-37,74107;6;2022;"NZL";"3747223935";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,089797;-38,071828;30;2022;"NZL";"3759182838";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,931075;-37,303695;4;2022;"NZL";"3759569245";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";176,501251;-38,184101;15;2022;"NZL";"3759471350";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";174,589594;-38,905219;39;2022;"NZL";"3759502680";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";176,012864;-38,205558;4;2022;"NZL";"3759755897";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";176,257892;-37,778507;61;2022;"NZL";"3759957720";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,120929;-37,964553;4;2022;"NZL";"3760082007";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,853519;-37,614976;31;2022;"NZL";"3764188851";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,132247;-38,199337;11;2022;"NZL";"3764455866";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,579134;-36,628995;643;2022;"NZL";"3773215805";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,720947;-37,541928;3;2022;"NZL";"3772550617";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Litsea calicaris";175,694655;-38,156083;11;2022;"NZL";"3772607216";"iNaturalist"
