"grid_id";"species";"year";"gbifID";"lat";"lon"
3;"Lycium ferocissimum";2009;"1837087183";-46,639714;169,136648
5;"Lycium ferocissimum";2021;"3090737289";-45,823261;170,622184
5;"Lycium ferocissimum";2020;"2603432210";-45,85469;170,692692
5;"Lycium ferocissimum";2020;"2626478718";-45,821233;170,623126
5;"Lycium ferocissimum";2020;"2634221265";-45,813381;170,680459
5;"Lycium ferocissimum";2019;"2005345976";-45,821947;170,623284
5;"Lycium ferocissimum";2018;"1986528067";-45,821289;170,622178
5;"Lycium ferocissimum";2017;"1571120764";-45,822568;170,623169
5;"Lycium ferocissimum";2016;"1305164747";-45,901114;170,553292
5;"Lycium ferocissimum";2015;"1098913421";-45,899031;170,552821
16;"Lycium ferocissimum";1982;"1091223101";-45,541944;169,312532
16;"Lycium ferocissimum";1982;"1091251463";-45,541944;169,312532
17;"Lycium ferocissimum";2018;"2856564560";-44,701614;170,378331
18;"Lycium ferocissimum";2021;"3097424490";-45,639846;170,670901
18;"Lycium ferocissimum";2021;"3108988262";-45,175952;170,903561
18;"Lycium ferocissimum";2021;"3314479152";-45,356405;170,856515
18;"Lycium ferocissimum";2021;"3384852291";-45,14963;170,854938
18;"Lycium ferocissimum";2020;"2543091559";-45,158129;170,918052
18;"Lycium ferocissimum";2020;"2563586530";-45,638531;170,669968
18;"Lycium ferocissimum";2020;"2574271737";-44,842884;170,646071
18;"Lycium ferocissimum";2020;"2574292748";-45,63993;170,666053
18;"Lycium ferocissimum";2020;"3097302372";-45,12169;170,980939
18;"Lycium ferocissimum";2020;"2603461201";-45,187317;170,896028
18;"Lycium ferocissimum";2019;"1990615137";-44,802652;170,52854
18;"Lycium ferocissimum";2019;"2236280292";-45,351026;170,828574
18;"Lycium ferocissimum";2019;"2237502842";-45,182812;170,907369
18;"Lycium ferocissimum";2019;"2252009266";-45,096175;170,949647
18;"Lycium ferocissimum";2019;"2456557529";-45,359989;170,852188
18;"Lycium ferocissimum";2018;"1978816671";-45,358912;170,856105
18;"Lycium ferocissimum";2018;"1990454957";-44,831097;170,608597
18;"Lycium ferocissimum";2018;"1978854247";-44,86113;170,687212
18;"Lycium ferocissimum";2018;"1978862552";-45,348888;170,827513
18;"Lycium ferocissimum";2018;"1986546134";-44,874508;170,623488
18;"Lycium ferocissimum";2017;"1453418966";-44,874841;170,622748
18;"Lycium ferocissimum";2017;"1453419092";-44,806479;170,532722
18;"Lycium ferocissimum";2017;"1640116973";-44,863932;170,605316
18;"Lycium ferocissimum";2016;"1291678971";-44,802538;170,528262
18;"Lycium ferocissimum";2015;"1065592038";-45,640336;170,669067
18;"Lycium ferocissimum";2015;"1088918734";-45,640064;170,668595
18;"Lycium ferocissimum";2015;"1098920232";-45,089006;170,982111
18;"Lycium ferocissimum";2015;"1099972336";-45,123258;170,977979
18;"Lycium ferocissimum";2014;"1453410967";-45,356744;170,858603
18;"Lycium ferocissimum";2014;"1978869407";-45,121808;170,981315
18;"Lycium ferocissimum";2014;"1038321357";-44,802514;170,527339
18;"Lycium ferocissimum";2010;"1837075322";-45,32946;170,82454
18;"Lycium ferocissimum";1989;"2434626740";-45,1;170,716667
18;"Lycium ferocissimum";1989;"2517616116";-45,1;170,666667
18;"Lycium ferocissimum";1987;"1091184879";-45,363753;170,843756
31;"Lycium ferocissimum";2019;"2013715001";-44,416151;171,261947
31;"Lycium ferocissimum";2019;"2460117504";-44,510983;171,205851
31;"Lycium ferocissimum";2018;"1978465150";-44,410661;171,232056
31;"Lycium ferocissimum";1980;"1091108010";-44,334728;171,01857
32;"Lycium ferocissimum";2020;"2574101894";-43,841142;172,312072
32;"Lycium ferocissimum";2020;"2626181926";-43,853676;172,394745
32;"Lycium ferocissimum";2020;"2803002297";-43,903819;172,191313
32;"Lycium ferocissimum";2020;"2803037077";-43,845055;172,219446
32;"Lycium ferocissimum";2019;"2237532046";-43,856518;172,373463
32;"Lycium ferocissimum";2019;"2238834170";-43,852628;172,392717
32;"Lycium ferocissimum";2018;"1838323206";-43,906832;172,179717
32;"Lycium ferocissimum";2017;"1586936166";-43,857775;172,362571
32;"Lycium ferocissimum";2016;"1272109940";-43,85342;172,391617
32;"Lycium ferocissimum";2007;"1038298143";-43,859948;172,353304
32;"Lycium ferocissimum";2007;"1038298172";-43,853944;172,368325
32;"Lycium ferocissimum";1964;"1091179882";-43,743452;172,317063
33;"Lycium ferocissimum";2021;"3355655781";-43,728527;172,587141
33;"Lycium ferocissimum";2019;"2005350696";-43,778153;172,657706
33;"Lycium ferocissimum";2019;"2238889015";-43,776006;172,643143
33;"Lycium ferocissimum";2018;"1899775932";-43,714528;172,572608
33;"Lycium ferocissimum";2017;"1562902281";-43,716647;172,572039
33;"Lycium ferocissimum";2017;"1640129980";-43,729464;172,591524
33;"Lycium ferocissimum";2016;"1249287251";-43,698299;173,0514
33;"Lycium ferocissimum";2016;"1269559912";-43,732659;172,571947
33;"Lycium ferocissimum";2015;"1088899710";-43,833635;172,506294
33;"Lycium ferocissimum";2015;"1092894842";-43,782149;172,653433
33;"Lycium ferocissimum";2015;"1092894874";-43,783055;172,651992
33;"Lycium ferocissimum";1998;"1091135666";-43,834545;172,988661
46;"Lycium ferocissimum";2021;"3044901429";-42,867298;173,308202
46;"Lycium ferocissimum";2021;"3112430350";-43,586636;172,78413
46;"Lycium ferocissimum";2021;"3112537929";-43,57134;172,772845
46;"Lycium ferocissimum";2021;"3113286074";-43,647231;172,837006
46;"Lycium ferocissimum";2021;"3320907894";-43,590215;172,79075
46;"Lycium ferocissimum";2021;"3321144803";-43,607663;172,689355
46;"Lycium ferocissimum";2021;"3338139879";-43,559611;172,571181
46;"Lycium ferocissimum";2021;"3343768100";-43,567172;172,6548
46;"Lycium ferocissimum";2021;"3355260101";-43,633071;172,735621
46;"Lycium ferocissimum";2021;"3355490971";-43,448922;172,61261
46;"Lycium ferocissimum";2021;"3355640381";-43,599133;172,574555
46;"Lycium ferocissimum";2021;"3384062797";-43,625154;172,738937
46;"Lycium ferocissimum";2021;"3415781073";-43,575818;172,690103
