"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,032598;-40,952097;2022;"NZL";"3455523068";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,035005;-40,956943;2022;"NZL";"3455589010";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,033777;-40,952835;2022;"NZL";"3455633144";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,033119;-40,950356;2022;"NZL";"3455777686";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";169,440581;-46,580256;2022;"NZL";"3455800102";"iNaturalist";40
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";177,786691;-37,807774;2022;"NZL";"3455958671";"iNaturalist";1
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,735872;-36,933184;2022;"NZL";"3456064176";"iNaturalist";3
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";177,709718;-37,801743;2022;"NZL";"3456117055";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,033119;-40,950356;2022;"NZL";"3456136874";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,573806;-38,001084;2022;"NZL";"3456147544";"iNaturalist";61
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,45665;-35,935532;2022;"NZL";"3456226168";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";167,608265;-45,564943;2022;"NZL";"3456380252";"iNaturalist";216
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,293975;-37,785838;2022;"NZL";"3456454606";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,562225;-38,016778;2022;"NZL";"3456570183";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";172,596983;-43,527375;2022;"NZL";"3456673784";"iNaturalist";88
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";177,743;-37,802706;2022;"NZL";"3456712080";"iNaturalist";6
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,477753;-36,876206;2022;"NZL";"3456728486";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,031244;-40,953938;2022;"NZL";"3456923990";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,391586;-36,695841;2022;"NZL";"3456949723";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";169,234497;-44,22916;2022;"NZL";"3456984368";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";171,236045;-43,900108;2022;"NZL";"3457051564";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,031464;-40,95053;2022;"NZL";"3457058543";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,497313;-35,819133;2022;"NZL";"3457157404";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,543188;-36,905027;2022;"NZL";"3457190468";"iNaturalist";412
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,100444;-39,912537;2022;"NZL";"3457209771";"iNaturalist";1231
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,022866;-40,959948;2022;"NZL";"3465922810";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,567257;-36,994418;2022;"NZL";"3465989537";"iNaturalist";50
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";173,967841;-35,21843;2022;"NZL";"3466002830";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";172,678512;-40,503352;2022;"NZL";"3466012900";"iNaturalist";216
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,08928;-37,067968;2022;"NZL";"3466121677";"iNaturalist";100
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,015075;-41,227322;2022;"NZL";"3466188904";"iNaturalist";9
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";175,08928;-37,067968;2022;"NZL";"3466236852";"iNaturalist";100
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,725216;-36,489543;2022;"NZL";"3466240774";"iNaturalist";100
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";174,715252;-36,802459;2022;"NZL";"3466435371";"iNaturalist";13
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine australis";176,253982;-37,295008;2022;"NZL";"3466461334";"iNaturalist";8
