"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,621292;-38,696095;2022;"NZL";"3455739441";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";176,00668;-39,899823;2022;"NZL";"3455883054";"iNaturalist";9
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,722795;-39,647837;2022;"NZL";"3455914294";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";166,909311;-45,638315;2022;"NZL";"3456281732";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";169,232361;-44,229393;2022;"NZL";"3456326579";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,721388;-39,647208;2022;"NZL";"3456798575";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,723297;-39,646313;2022;"NZL";"3457162439";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,507325;-39,233233;2022;"NZL";"3457176687";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";177,681062;-38,6398;2022;"NZL";"3466053338";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,164425;-40,933013;2022;"NZL";"3466135724";"iNaturalist";3
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";177,682463;-38,638283;2022;"NZL";"3466157832";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";171,409003;-42,525973;2022;"NZL";"3466189955";"iNaturalist";61
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,456361;-39,429214;2022;"NZL";"3466289565";"iNaturalist";7774
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";177,688125;-38,633295;2022;"NZL";"3466432283";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";170,628017;-45,872404;2022;"NZL";"3466453117";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";166,281691;-50,496874;2022;"NZL";"3466465245";"iNaturalist";9
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";177,681672;-38,638042;2022;"NZL";"3468848781";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";177,702805;-38,636653;2022;"NZL";"3468986698";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";168,120278;-44,813696;2022;"NZL";"3499461651";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";167,16151;-45,580603;2022;"NZL";"3759878043";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";170,645452;-45,862851;2022;"NZL";"3468770275";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,041872;-43,259527;2022;"NZL";"3698057775";"iNaturalist";122
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";171,762221;-43,36593;2022;"NZL";"3698097864";"iNaturalist";11
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";174,217635;-35,620276;2022;"NZL";"3698123606";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";174,540984;-35,61243;2022;"NZL";"3698319982";"iNaturalist";26
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,779275;-43,647146;2022;"NZL";"3705385632";"iNaturalist";61
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,843237;-41,806284;2022;"NZL";"3705706566";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";171,529659;-43,562248;2022;"NZL";"3705742730";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";176,010995;-39,899373;2022;"NZL";"3705799655";"iNaturalist";31
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";171,757269;-41,767698;2022;"NZL";"3705753239";"iNaturalist";23780
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";168,1295;-46,928245;2022;"NZL";"3712456981";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";169,151589;-52,543529;2022;"NZL";"3712612848";"iNaturalist";34
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,766158;-43,784138;2022;"NZL";"3743245763";"iNaturalist";3
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";174,558461;-36,937652;2022;"NZL";"3747189798";"iNaturalist";717
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";169,4275;-46,575;2022;"NZL";"3747346917";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";173,019108;-43,750698;2022;"NZL";"3759070092";"iNaturalist";100
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";173,01744;-43,749047;2022;"NZL";"3759088036";"iNaturalist";100
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,561949;-41,523292;2022;"NZL";"3759491281";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,593293;-41,115277;2022;"NZL";"3760247943";"iNaturalist";127
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";167,919163;-45,780171;2022;"NZL";"3759318181";"iNaturalist";12
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,980148;-41,687317;2022;"NZL";"3759687826";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";174,04846;-39,262738;2022;"NZL";"3759721668";"iNaturalist";122
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";174,048582;-39,262048;2022;"NZL";"3759729754";"iNaturalist";31
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";170,656664;-45,759987;2022;"NZL";"3759745431";"iNaturalist";21
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";169,969993;-43,441852;2022;"NZL";"3759806438";"iNaturalist";61
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";169,198761;-44,440556;2022;"NZL";"3759999251";"iNaturalist";4000
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";171,590653;-42,982962;2022;"NZL";"3760104615";"iNaturalist";48
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";168,829048;-46,061336;2022;"NZL";"3760256612";"iNaturalist";122
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";175,571486;-41,223395;2022;"NZL";"3760298107";"iNaturalist";55
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";170,489994;-45,861439;2022;"NZL";"3760302288";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";169,281143;-44,159347;2022;"NZL";"3760303317";"iNaturalist";8
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,658722;-42,039352;2022;"NZL";"3760357191";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";172,788637;-43,715378;2022;"NZL";"3764106775";"iNaturalist";14
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Myrsine divaricata";173,244232;-41,442245;2022;"NZL";"3764500021";"iNaturalist";NA
