"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,079408;-39,057153;10371;2022;"NZL";"3455625914";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,073566;-44,832219;593;2022;"NZL";"3455758194";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,079408;-39,057153;10371;2022;"NZL";"3455758826";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";172,404692;-42,374508;NA;2022;"NZL";"3455951133";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,079408;-39,057153;10371;2022;"NZL";"3455987949";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";167,802426;-44,838329;NA;2022;"NZL";"3456052291";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,079408;-39,057153;10371;2022;"NZL";"3456139499";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,128125;-46,898994;NA;2022;"NZL";"3456333085";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";175,803935;-36,611979;35;2022;"NZL";"3456354107";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,775896;-36,857607;NA;2022;"NZL";"3456603954";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";167,768489;-44,804475;122;2022;"NZL";"3456832681";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,713589;-36,699868;41789;2022;"NZL";"3457148603";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";172,253089;-42,323036;NA;2022;"NZL";"3466188902";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";175,608188;-38,449734;4;2022;"NZL";"3466512141";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";175,60729;-38,448785;4;2022;"NZL";"3466537919";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,1332;-46,9261;27819;2022;"NZL";"3468724569";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";166,559486;-45,67341;244;2022;"NZL";"3468741478";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,125919;-46,928766;122;2022;"NZL";"3468850164";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";166,653646;-46,104179;NA;2022;"NZL";"3468949880";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";166,653778;-46,103764;NA;2022;"NZL";"3468981181";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";166,653609;-46,103671;NA;2022;"NZL";"3468993139";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,761309;-36,381991;16;2022;"NZL";"3468660533";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";175,891083;-37,610554;118;2022;"NZL";"3499533307";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,838347;-36,416733;4;2022;"NZL";"3499576907";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,136189;-46,93585;3185;2022;"NZL";"3705477882";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,121522;-46,900742;4;2022;"NZL";"3705568901";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,122888;-46,900685;8;2022;"NZL";"3705788236";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,127806;-46,928137;4;2022;"NZL";"3705793036";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,1385;-46,937931;3200;2022;"NZL";"3705823931";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";168,128265;-46,928346;5;2022;"NZL";"3712480625";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,695787;-36,585909;202;2022;"NZL";"3743128600";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";174,694934;-36,565628;533;2022;"NZL";"3743260633";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";175,57477;-38,473858;5;2022;"NZL";"3747003680";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";175,532251;-38,450856;8;2022;"NZL";"3759220078";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";167,133617;-45,609924;31;2022;"NZL";"3760334710";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Nestor meridionalis";170,603164;-45,776005;123;2022;"NZL";"3759376499";"iNaturalist"
