"grid_id";"species";"year";"gbifID";"lat";"lon"
5;"Passiflora tarminiana";2021;"3112286809";-45,838404;170,498162
5;"Passiflora tarminiana";2021;"3408041069";-45,871818;170,4875
44;"Passiflora tarminiana";2020;"3044789759";-42,907423;170,769628
46;"Passiflora tarminiana";2021;"3415490614";-43,581534;172,642664
46;"Passiflora tarminiana";2021;"3415628596";-43,629687;172,649635
46;"Passiflora tarminiana";2021;"3415663560";-43,629637;172,6496
46;"Passiflora tarminiana";2020;"2611203501";-43,576644;172,624038
46;"Passiflora tarminiana";2019;"2242950635";-43,578565;172,73591
46;"Passiflora tarminiana";2018;"3058959349";-43,574706;172,623347
46;"Passiflora tarminiana";1997;"1091226423";-43,673076;172,702255
46;"Passiflora tarminiana";1997;"1091269805";-43,673076;172,702255
46;"Passiflora tarminiana";NA;"1843471526";-43,583333;172,683333
46;"Passiflora tarminiana";NA;"1897680226";-43,566667;172,75
46;"Passiflora tarminiana";NA;"2883317328";-43,659167;172,655806
57;"Passiflora tarminiana";2021;"3044800222";-42,10528;171,339496
71;"Passiflora tarminiana";2021;"3032027619";-41,213897;172,1502
71;"Passiflora tarminiana";1985;"1091213511";-41,262;172,132
71;"Passiflora tarminiana";1985;"1091230779";-41,261323;172,129706
71;"Passiflora tarminiana";1985;"1091297662";-41,262;172,132
71;"Passiflora tarminiana";1985;"1260850128";-41,5;172,166667
72;"Passiflora tarminiana";2021;"3408024436";-41,193042;173,054323
72;"Passiflora tarminiana";2015;"2429188344";-40,724503;172,692711
72;"Passiflora tarminiana";1974;"1091158144";-41,296543;173,238929
72;"Passiflora tarminiana";1974;"1091255545";-41,296543;173,238929
72;"Passiflora tarminiana";1974;"1091330791";-41,296543;173,238929
72;"Passiflora tarminiana";1974;"1260851342";-41,283333;173,283333
73;"Passiflora tarminiana";2020;"3061563429";-41,269933;173,935365
73;"Passiflora tarminiana";1999;"1091274886";-41,27504;173,931179
74;"Passiflora tarminiana";2020;"2874024547";-40,764214;175,281923
74;"Passiflora tarminiana";2019;"2641310600";-41,189525;174,925547
87;"Passiflora tarminiana";2021;"3070462891";-40,63458;175,331228
87;"Passiflora tarminiana";2005;"1091117032";-39,935163;175,066443
87;"Passiflora tarminiana";2005;"1091126162";-39,935163;175,066443
87;"Passiflora tarminiana";1970;"1091238654";-40,67028;175,30685
87;"Passiflora tarminiana";NA;"1897621371";-40,633333;175,283333
87;"Passiflora tarminiana";NA;"1897676590";-40,633333;175,283333
88;"Passiflora tarminiana";2021;"3384462143";-40,366827;175,607671
88;"Passiflora tarminiana";2014;"1065599508";-40,188237;175,451866
