"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";167,785931;-44,819891;488;2022;"NZL";"3455569022";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";170,449451;-45,675852;27126;2022;"NZL";"3455671734";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";170,085493;-43,715197;NA;2022;"NZL";"3455749249";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,107541;-44,808537;5;2022;"NZL";"3455780265";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";172,257836;-42,319681;NA;2022;"NZL";"3455828165";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,158494;-44,801281;200;2022;"NZL";"3455987875";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";175,596345;-38,444845;4;2022;"NZL";"3456178319";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";175,604391;-36,982112;705;2022;"NZL";"3456205102";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";175,02731;-40,957487;8;2022;"NZL";"3456210741";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,103242;-44,808049;9;2022;"NZL";"3456255499";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,202447;-44,72773;236;2022;"NZL";"3456538653";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,287045;-46,482501;15;2022;"NZL";"3456585209";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";172,44967;-40,852475;NA;2022;"NZL";"3456627784";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,18029;-44,761753;98;2022;"NZL";"3456628175";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";170,496786;-45,843815;88;2022;"NZL";"3456784700";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";167,733169;-44,797935;NA;2022;"NZL";"3456882240";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";174,617856;-36,74164;54;2022;"NZL";"3456899401";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,156664;-44,803332;105;2022;"NZL";"3456935851";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";172,264913;-42,313272;177;2022;"NZL";"3457014406";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";173,196285;-41,680981;NA;2022;"NZL";"3457014689";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";175,569036;-38,021306;122;2022;"NZL";"3457027426";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,117087;-44,63948;20;2022;"NZL";"3457092465";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";171,714088;-42,967228;112;2022;"NZL";"3457114562";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";169,783452;-46,385208;2265;2022;"NZL";"3457163255";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Petroica macrocephala";168,080697;-44,891884;33;2022;"NZL";"3457166542";"iNaturalist"
