"grid_id";"species";"year";"gbifID";"lat";"lon"
1;"Podocarpus nivalis";1977;"1312239018";-46,0863;166,7561
2;"Podocarpus nivalis";1962;"1312821427";-45,7003;167,8715
2;"Podocarpus nivalis";1962;"1312821802";-45,7052;167,8958
2;"Podocarpus nivalis";1962;"1312822568";-45,7052;167,8958
2;"Podocarpus nivalis";1962;"1312822698";-45,7003;167,8715
2;"Podocarpus nivalis";1962;"1312822699";-45,6797;167,8986
3;"Podocarpus nivalis";1979;"1312195745";-46,4254;169,1798
15;"Podocarpus nivalis";2021;"3032128609";-44,72645;168,196271
15;"Podocarpus nivalis";2020;"3008474749";-44,726184;168,198465
15;"Podocarpus nivalis";2020;"3039356198";-44,813139;168,129429
15;"Podocarpus nivalis";2019;"2005284441";-45,215561;168,176373
15;"Podocarpus nivalis";2019;"2012969540";-44,763742;167,988937
15;"Podocarpus nivalis";2017;"1500296267";-44,946222;168,193216
15;"Podocarpus nivalis";2017;"1802701085";-45,302067;168,299072
15;"Podocarpus nivalis";2016;"1339231564";-44,815712;168,127029
15;"Podocarpus nivalis";2016;"1273854030";-45,627907;167,909975
15;"Podocarpus nivalis";2015;"2626587797";-44,962266;168,214931
15;"Podocarpus nivalis";2015;"1088941381";-44,817737;168,124981
15;"Podocarpus nivalis";2015;"1088941519";-44,725969;168,199321
15;"Podocarpus nivalis";2014;"1291169977";-44,834189;168,125303
15;"Podocarpus nivalis";2013;"1038302579";-44,884945;168,213043
15;"Podocarpus nivalis";2013;"2626619692";-44,729753;168,194289
15;"Podocarpus nivalis";2013;"1038314419";-44,971036;168,224917
15;"Podocarpus nivalis";2010;"1847601966";-44,764061;167,977947
15;"Podocarpus nivalis";2008;"1312829236";-44,9697;168,0181
15;"Podocarpus nivalis";1986;"1312464124";-45,6252;167,9174
15;"Podocarpus nivalis";1984;"1313316333";-44,8433;168,269
15;"Podocarpus nivalis";1984;"1313316565";-44,7594;168,2037
15;"Podocarpus nivalis";1982;"1312104567";-44,8407;168,1769
15;"Podocarpus nivalis";1982;"1312104747";-44,8856;168,3062
15;"Podocarpus nivalis";1982;"1312105127";-44,9856;168,2232
15;"Podocarpus nivalis";1981;"1091144139";-44,708686;168,075978
15;"Podocarpus nivalis";1978;"1312211768";-44,7067;168,3842
15;"Podocarpus nivalis";1978;"1313323419";-44,6948;168,1968
15;"Podocarpus nivalis";1977;"1312235315";-44,7109;168,212
15;"Podocarpus nivalis";1977;"1312235335";-44,711;168,2143
15;"Podocarpus nivalis";1977;"1312235392";-44,7224;168,2391
15;"Podocarpus nivalis";1977;"1312235402";-44,7232;168,2402
15;"Podocarpus nivalis";1976;"1312259477";-44,8856;168,3062
15;"Podocarpus nivalis";1976;"1312259544";-44,8725;168,2792
15;"Podocarpus nivalis";1976;"1312259701";-44,7899;168,211
15;"Podocarpus nivalis";1976;"1312259727";-44,707;168,2192
15;"Podocarpus nivalis";1976;"1312259763";-44,8407;168,1769
15;"Podocarpus nivalis";1976;"1312259794";-44,839;168,1747
15;"Podocarpus nivalis";1976;"1312261555";-44,9088;168,1706
15;"Podocarpus nivalis";1976;"1312261568";-44,9076;168,2105
15;"Podocarpus nivalis";1976;"1312261594";-44,9856;168,2232
15;"Podocarpus nivalis";1976;"1312261595";-44,9564;168,2154
15;"Podocarpus nivalis";1976;"1312261761";-44,8911;168,299
15;"Podocarpus nivalis";1976;"1312268157";-44,822;168,2138
15;"Podocarpus nivalis";1976;"1312268209";-44,8424;168,1791
15;"Podocarpus nivalis";1976;"1312268332";-44,9549;168,2572
15;"Podocarpus nivalis";1976;"1312268388";-44,9933;168,2191
15;"Podocarpus nivalis";1976;"1312268395";-44,9901;168,2204
15;"Podocarpus nivalis";1976;"1312268398";-44,9065;168,1754
15;"Podocarpus nivalis";1976;"1312268425";-44,9058;168,209
15;"Podocarpus nivalis";1975;"1312301170";-44,9717;167,8575
