"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";177,781095;-37,807197;2;2022;"NZL";"3455588758";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,036685;-40,956931;4;2022;"NZL";"3455609097";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,562303;-36,803467;4;2022;"NZL";"3455760961";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,036661;-40,9518;15;2022;"NZL";"3455779741";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,036774;-40,951643;15;2022;"NZL";"3456007263";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,032298;-40,953126;NA;2022;"NZL";"3456454853";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,031961;-40,95306;10;2022;"NZL";"3456966847";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,033694;-40,950087;15;2022;"NZL";"3457011752";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,035093;-40,950784;15;2022;"NZL";"3457094982";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,032245;-40,953088;NA;2022;"NZL";"3457112206";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";173,810075;-41,229483;96;2022;"NZL";"3465932190";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,570356;-38,017166;1413;2022;"NZL";"3705739471";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";175,577775;-38,020805;5;2022;"NZL";"3468681591";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pseudowintera axillaris";172,669783;-40,741284;9;2022;"NZL";"3468988669";"iNaturalist"
