"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"coordinateUncertaintyInMeters";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,466462;-43,642588;5;2022;"NZL";"3747301688";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,656915;-43,550411;8;2022;"NZL";"3772441277";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,597563;-43,526903;NA;2022;"NZL";"3773003599";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,911135;-40,804501;101;2021;"NZL";"3018147953";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,634487;-43,563433;9;2021;"NZL";"3032175068";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";169,126454;-45,083503;8;2021;"NZL";"3398821942";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,678215;-43,49599;1500;2020;"NZL";"2557798976";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,653109;-43,567829;946;2020;"NZL";"2626395905";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";169,313441;-45,196294;122;2020;"NZL";"2609191407";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,7359;-43,556928;5;2020;"NZL";"3337699361";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";173,737292;-42,27034;4;2020;"NZL";"2898386136";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";174,668358;-36,516166;111;2020;"NZL";"2901692288";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";169,307348;-45,44343;NA;2020;"NZL";"2980986116";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,631547;-43,571095;10;2019;"NZL";"2234751735";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,634603;-43,563469;20;2019;"NZL";"2234810894";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,66983;-43,520893;NA;2019;"NZL";"2238893223";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";174,93241;-41,1986;5;2019;"NZL";"2429553503";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,652842;-43,534572;27474;2018;"NZL";"1948770710";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,67961;-43,552999;2;2018;"NZL";"1949993921";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";175,05398;-41,111909;25;2017;"NZL";"1453333308";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,628757;-43,545478;36;2013;"NZL";"1038303416";"iNaturalist"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Pyrus communis";172,669708;-43,565048;23;2013;"NZL";"1038303855";"iNaturalist"
"DWC_ARCHIVE";"PRESERVED_SPECIMEN";"Pyrus communis";175,799809;-39,37973;NA;2011;"NZL";"1091210309";"CHR"
