"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";168,130548;-46,899785;2022;"NZL";"3456024156";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";168,835783;-46,060382;2022;"NZL";"3759130793";"iNaturalist";196
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";170,596657;-45,734126;2022;"NZL";"3468975986";"iNaturalist";16
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";169,215679;-44,999586;2022;"NZL";"3760208598";"iNaturalist";407
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,62611;-43,634313;2022;"NZL";"3772732959";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";170,496818;-45,836215;2022;"NZL";"3773024139";"iNaturalist";103
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,624993;-43,63495;2022;"NZL";"3773527321";"iNaturalist";31
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,633845;-43,616419;2022;"NZL";"3773762715";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,641397;-43,589501;2022;"NZL";"3772523434";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,64285;-43,600146;2022;"NZL";"3772555435";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,646198;-43,606179;2022;"NZL";"3772567805";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,642056;-43,58548;2022;"NZL";"3772576391";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,644858;-43,596672;2022;"NZL";"3772902353";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";170,599435;-45,733157;2022;"NZL";"3785028134";"iNaturalist";162
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,644942;-43,604238;2021;"NZL";"3017940662";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";170,556917;-45,864193;2021;"NZL";"3031890502";"iNaturalist";1744
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";168,668949;-45,025689;2021;"NZL";"3039303073";"iNaturalist";85
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Ribes sanguineum";172,64447;-43,592869;2021;"NZL";"3039291774";"iNaturalist";NA
