"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,005514;-43,831283;2022;"NZL";"3455478052";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,676196;-43,554043;2022;"NZL";"3455854278";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,459429;-45,862798;2022;"NZL";"3455994051";"iNaturalist";68
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,00644;-43,833499;2022;"NZL";"3456011753";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";168,415721;-46,431374;2022;"NZL";"3456052566";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,304119;-42,861139;2022;"NZL";"3456121320";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,477614;-45,889027;2022;"NZL";"3456270544";"iNaturalist";35
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";169,097983;-46,661077;2022;"NZL";"3456315429";"iNaturalist";31
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,007388;-43,836364;2022;"NZL";"3456465228";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";168,130486;-46,899889;2022;"NZL";"3456484494";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";176,282911;-38,159915;2022;"NZL";"3456546639";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,967182;-43,821296;2022;"NZL";"3456587369";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,005937;-43,83204;2022;"NZL";"3456713637";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,470607;-45,891288;2022;"NZL";"3457011537";"iNaturalist";8
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,46939;-43,646083;2022;"NZL";"3457043796";"iNaturalist";74
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";168,676483;-45,040328;2022;"NZL";"3457094443";"iNaturalist";8
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,005044;-43,8312;2022;"NZL";"3457103390";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,005246;-43,831266;2022;"NZL";"3457120489";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,641967;-43,650987;2022;"NZL";"3457194015";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,351156;-43,791847;2022;"NZL";"3457206577";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";169,453688;-46,576015;2022;"NZL";"3457222796";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";169,321372;-45,546058;2022;"NZL";"3465913780";"iNaturalist";68
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,667678;-43,558636;2022;"NZL";"3466164101";"iNaturalist";57
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,697662;-43,484276;2022;"NZL";"3466256062";"iNaturalist";40
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";169,100592;-46,66165;2022;"NZL";"3466347964";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";176,898554;-39,702553;2022;"NZL";"3466503021";"iNaturalist";935
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,697836;-43,484495;2022;"NZL";"3468742590";"iNaturalist";63
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";175,01141;-41,14201;2022;"NZL";"3499446667";"iNaturalist";996
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,631746;-43,592588;2022;"NZL";"3698195508";"iNaturalist";450
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,781333;-45,404513;2022;"NZL";"3747088158";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,513218;-45,855285;2022;"NZL";"3466231555";"iNaturalist";11
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";169,100478;-46,661683;2022;"NZL";"3468936536";"iNaturalist";3
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,5654;-45,885292;2022;"NZL";"3499408660";"iNaturalist";225
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";174,977465;-41,16395;2022;"NZL";"3499447055";"iNaturalist";48
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";168,902952;-46,44622;2022;"NZL";"3499542505";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";171,294013;-43,97454;2022;"NZL";"3499573666";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,568305;-45,89279;2022;"NZL";"3499683591";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,5699;-43,439426;2022;"NZL";"3698175553";"iNaturalist";213
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,737197;-43,6002;2022;"NZL";"3705725586";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,735219;-43,631297;2022;"NZL";"3712691955";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";175,250042;-37,773129;2022;"NZL";"3712651979";"iNaturalist";993
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";175,248373;-37,73878;2022;"NZL";"3712661601";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,75845;-45,530557;2022;"NZL";"3743111937";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,699741;-45,87427;2022;"NZL";"3747041673";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,506801;-45,895345;2022;"NZL";"3747301984";"iNaturalist";1899
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,463488;-45,863665;2022;"NZL";"3759301725";"iNaturalist";12
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,582122;-43,548672;2022;"NZL";"3759935288";"iNaturalist";8
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,90625;-43,790943;2022;"NZL";"3759981980";"iNaturalist";77
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,7088;-43,597563;2022;"NZL";"3764232985";"iNaturalist";11
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";174,715598;-36,884015;2022;"NZL";"3764249340";"iNaturalist";2514
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,527802;-45,882571;2022;"NZL";"3764661361";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,496055;-45,841767;2022;"NZL";"3772583785";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";174,982605;-36,971447;2022;"NZL";"3772661690";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,497237;-45,840742;2022;"NZL";"3772670616";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,57929;-43,553802;2022;"NZL";"3772789946";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,497249;-45,840763;2022;"NZL";"3772833003";"iNaturalist";2
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,486905;-43,634198;2022;"NZL";"3772890645";"iNaturalist";25
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,632963;-43,5797;2022;"NZL";"3773302552";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,61086;-43,568788;2022;"NZL";"3773436579";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,621418;-43,657634;2022;"NZL";"3773441678";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,633192;-43,57961;2022;"NZL";"3773467983";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,578126;-43,582893;2022;"NZL";"3773539160";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,630763;-43,680502;2022;"NZL";"3773547323";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,620506;-43,636422;2022;"NZL";"3773557835";"iNaturalist";31
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,470299;-43,642728;2022;"NZL";"3773600599";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,623838;-43,56957;2022;"NZL";"3773601924";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,527645;-45,859259;2022;"NZL";"3772466456";"iNaturalist";414
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,632911;-43,579789;2022;"NZL";"3772578830";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,692819;-43,487004;2022;"NZL";"3772878877";"iNaturalist";2056
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,646099;-43,592611;2022;"NZL";"3772969407";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,459514;-43,646389;2022;"NZL";"3773210258";"iNaturalist";4
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,459561;-43,646582;2022;"NZL";"3773472806";"iNaturalist";122
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,644104;-43,599129;2022;"NZL";"3773502341";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";175,068494;-40,934826;2022;"NZL";"3773517461";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,632917;-43,579814;2022;"NZL";"3773546411";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,997614;-43,815248;2022;"NZL";"3773630424";"iNaturalist";152
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,643824;-43,601288;2022;"NZL";"3773707159";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";168,41568;-46,431263;2022;"NZL";"3784948833";"iNaturalist";6
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";175,273519;-41,249121;2021;"NZL";"3017943049";"iNaturalist";69
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";170,569478;-45,86009;2021;"NZL";"3017963231";"iNaturalist";6
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,738828;-43,587487;2021;"NZL";"3018002967";"iNaturalist";196
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,658746;-43,569097;2021;"NZL";"3018051094";"iNaturalist";6
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,663119;-43,577747;2021;"NZL";"3018074059";"iNaturalist";355
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";168,306016;-46,574656;2021;"NZL";"3018086142";"iNaturalist";46
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";172,892487;-43,69173;2021;"NZL";"3018098041";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Solanum laciniatum";173,97682;-41,476704;2021;"NZL";"3031702154";"iNaturalist";4
