"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode";"coordinateUncertaintyInMeters"
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,532767;-37,860356;2022;"NZL";"3466199912";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";172,626195;-43,558997;2022;"NZL";"3772622744";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";172,650794;-43,552752;2022;"NZL";"3773268265";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";172,628976;-43,532001;2022;"NZL";"3773567037";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";176,86777;-39,603456;2022;"NZL";"3772417200";"iNaturalist";3
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";172,635192;-43,562328;2022;"NZL";"3773226198";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";172,632726;-43,575403;2022;"NZL";"3773307419";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";176,127782;-37,717644;2021;"NZL";"3031698882";"iNaturalist";15
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,757102;-37,755762;2021;"NZL";"3044920928";"iNaturalist";2668
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,331603;-37,802186;2021;"NZL";"3058813147";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,283814;-37,750717;2021;"NZL";"3058920521";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";171,24959;-44,392295;2021;"NZL";"3059102382";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,291703;-37,774311;2021;"NZL";"3061613867";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";172,690556;-40,740278;2021;"NZL";"3067807652";"iNaturalist";NA
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,283981;-37,751092;2021;"NZL";"3070626725";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,240067;-37,800367;2021;"NZL";"3079520208";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,283783;-37,784786;2021;"NZL";"3079524138";"iNaturalist";10
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,269456;-37,737511;2021;"NZL";"3079595880";"iNaturalist";5
"DWC_ARCHIVE";"HUMAN_OBSERVATION";"Trachycarpus fortunei";175,62277;-40,384919;2021;"NZL";"3079832708";"iNaturalist";515
