"cell_id";"species";"year";"gbifID";"protocol";"institutionCode";"lat";"lon";"crs"
27;"Astelia nivicola";2022;"3466263275";"DWC_ARCHIVE";"iNaturalist";6001928,67548014;2488520,54727681;"NZMG"
27;"Astelia nivicola";2022;"3468936372";"DWC_ARCHIVE";"iNaturalist";6003161,99934892;2478283,37121334;"NZMG"
27;"Astelia nivicola";2022;"3468985271";"DWC_ARCHIVE";"iNaturalist";6010488,37830922;2483632,80779766;"NZMG"
27;"Astelia nivicola";2022;"3698205774";"DWC_ARCHIVE";"iNaturalist";5974878,39050706;2463916,29971906;"NZMG"
27;"Astelia nivicola";2022;"3698350981";"DWC_ARCHIVE";"iNaturalist";5975595,19903099;2461915,6084037;"NZMG"
27;"Astelia nivicola";2022;"3698397289";"DWC_ARCHIVE";"iNaturalist";5976362,84861711;2462320,17527231;"NZMG"
27;"Astelia nivicola";2021;"3399298618";"DWC_ARCHIVE";"iNaturalist";6000708,01359461;2486125,11103221;"NZMG"
27;"Astelia nivicola";2013;"1806597869";"DWC_ARCHIVE";"CHR";6021074,9749112;2464062,95970353;"NZMG"
27;"Astelia nivicola";2010;"1889976240";"DWC_ARCHIVE";"Landcare Research";5963859,95985556;2455083,35121674;"NZMG"
31;"Astelia nivicola";2020;"3355216853";"DWC_ARCHIVE";"iNaturalist";5872356,23446738;2376316,19869686;"NZMG"
31;"Astelia nivicola";2019;"2006060052";"DWC_ARCHIVE";"iNaturalist";5878538,81269683;2377938,7871341;"NZMG"
32;"Astelia nivicola";2019;"2013716358";"DWC_ARCHIVE";"iNaturalist";5869033,75459592;2459024,61023589;"NZMG"
32;"Astelia nivicola";2019;"2574040763";"DWC_ARCHIVE";"iNaturalist";5924363,16578964;2497422,47476885;"NZMG"
32;"Astelia nivicola";2019;"2283080793";"DWC_ARCHIVE";"iNaturalist";5924764,88999402;2489422,90227698;"NZMG"
32;"Astelia nivicola";2015;"1065601788";"DWC_ARCHIVE";"iNaturalist";5868897,92323951;2458107,76761799;"NZMG"
32;"Astelia nivicola";2012;"1806597906";"DWC_ARCHIVE";"CHR";5925074,53255178;2432045,71659277;"NZMG"
32;"Astelia nivicola";2011;"1313407742";"DWC_ARCHIVE";"Landcare Research";5939308,85561811;2413407,80735782;"NZMG"
36;"Astelia nivicola";2013;"1806597685";"DWC_ARCHIVE";"CHR";5757086,28280121;2296051,40798645;"NZMG"
37;"Astelia nivicola";2021;"3039463882";"DWC_ARCHIVE";"iNaturalist";5809792,94832231;2393777,80760728;"NZMG"
41;"Astelia nivicola";2021;"3032129213";"DWC_ARCHIVE";"iNaturalist";5717294,34950346;2274209,12189285;"NZMG"
41;"Astelia nivicola";2014;"3751279481";"DWC_ARCHIVE";"CHR";5709074,60915209;2224054,66556096;"NZMG"
42;"Astelia nivicola";2020;"2963869737";"DWC_ARCHIVE";"iNaturalist";5701526,71542901;2366776,1524181;"NZMG"
45;"Astelia nivicola";2016;"1265552539";"DWC_ARCHIVE";"iNaturalist";5556631,79225453;2071976,19585036;"NZMG"
45;"Astelia nivicola";2015;"3751279377";"DWC_ARCHIVE";"CHR";5557069,17942956;2072056,0885475;"NZMG"
46;"Astelia nivicola";2022;"3466460140";"DWC_ARCHIVE";"iNaturalist";5575939,14442514;2123938,1647815;"NZMG"
46;"Astelia nivicola";2021;"3044850613";"DWC_ARCHIVE";"iNaturalist";5601972,11334303;2135328,0260083;"NZMG"
46;"Astelia nivicola";2021;"3044933536";"DWC_ARCHIVE";"iNaturalist";5587623,58625752;2124771,76026533;"NZMG"
46;"Astelia nivicola";2017;"1562927326";"DWC_ARCHIVE";"iNaturalist";5587727,96805588;2124844,32045326;"NZMG"
49;"Astelia nivicola";2021;"3355139939";"DWC_ARCHIVE";"iNaturalist";5479385,01182027;2073593,33693074;"NZMG"
49;"Astelia nivicola";2021;"3415704454";"DWC_ARCHIVE";"iNaturalist";5522008,43985636;2082633,071467;"NZMG"
49;"Astelia nivicola";2020;"3320998357";"DWC_ARCHIVE";"iNaturalist";5479728,49114185;2074504,39972754;"NZMG"
49;"Astelia nivicola";2020;"3321269370";"DWC_ARCHIVE";"iNaturalist";5479780,06159348;2074026,82479613;"NZMG"
49;"Astelia nivicola";2020;"2580107097";"DWC_ARCHIVE";"iNaturalist";5540616,1908294;2067234,04288183;"NZMG"
49;"Astelia nivicola";2020;"2596281830";"DWC_ARCHIVE";"iNaturalist";5521868,64471091;2087021,87704438;"NZMG"
49;"Astelia nivicola";2020;"3456031214";"DWC_ARCHIVE";"iNaturalist";5541169,87110741;2066303,95526998;"NZMG"
49;"Astelia nivicola";2016;"1253308791";"DWC_ARCHIVE";"iNaturalist";5479560,84519685;2074738,59410409;"NZMG"
49;"Astelia nivicola";2016;"1453134081";"DWC_ARCHIVE";"iNaturalist";5512748,41166033;2058995,44126356;"NZMG"
49;"Astelia nivicola";2016;"1453326466";"DWC_ARCHIVE";"iNaturalist";5479395,95284863;2073963,51660045;"NZMG"
50;"Astelia nivicola";2020;"2573949882";"DWC_ARCHIVE";"iNaturalist";5488174,34722079;2108890,7629517;"NZMG"
50;"Astelia nivicola";2020;"2576309491";"DWC_ARCHIVE";"iNaturalist";5534956,15169818;2152016,47982307;"NZMG"
50;"Astelia nivicola";2016;"1315067362";"DWC_ARCHIVE";"iNaturalist";5553391,32607989;2180939,14563182;"NZMG"
50;"Astelia nivicola";2016;"1273854113";"DWC_ARCHIVE";"iNaturalist";5496573,18589655;2113244,94470534;"NZMG"
51;"Astelia nivicola";2021;"3044901935";"DWC_ARCHIVE";"iNaturalist";5527452,42473246;2211360,52074649;"NZMG"
51;"Astelia nivicola";2020;"2574160693";"DWC_ARCHIVE";"iNaturalist";5529609,53777362;2211256,10794733;"NZMG"
51;"Astelia nivicola";2020;"2868398768";"DWC_ARCHIVE";"iNaturalist";5517144,78545625;2208698,73263638;"NZMG"
51;"Astelia nivicola";2016;"1265601312";"DWC_ARCHIVE";"iNaturalist";5522977,03547215;2211731,77054177;"NZMG"
51;"Astelia nivicola";2014;"1065609879";"DWC_ARCHIVE";"iNaturalist";5528462,55044243;2211792,05620419;"NZMG"
