"grid_id";"species";"year";"gbifID";"lat";"lon"
1;"Coprosma cuneata";2020;"2609336027";-45,745438;167,373053
1;"Coprosma cuneata";2020;"2814194797";-45,980123;167,362673
1;"Coprosma cuneata";2019;"2006069266";-46,159119;167,310258
1;"Coprosma cuneata";2019;"2294408592";-46,160481;167,309891
1;"Coprosma cuneata";2019;"2236842893";-46,161278;167,317917
1;"Coprosma cuneata";1982;"1312100687";-45,8976;167,1611
1;"Coprosma cuneata";1982;"1312100718";-45,8992;167,1586
1;"Coprosma cuneata";1982;"1312100774";-45,8961;167,1647
1;"Coprosma cuneata";1982;"1312100781";-45,8968;167,1623
1;"Coprosma cuneata";1982;"1312100813";-45,8599;167,1387
1;"Coprosma cuneata";1982;"1312101105";-46,0367;167,2281
1;"Coprosma cuneata";1982;"1312101277";-46,0163;167,2769
1;"Coprosma cuneata";1982;"1312101398";-45,9331;167,275
1;"Coprosma cuneata";1982;"1312101415";-45,9355;167,2725
1;"Coprosma cuneata";1982;"1312101468";-45,9413;167,2496
1;"Coprosma cuneata";1982;"1312101513";-45,9429;167,2495
1;"Coprosma cuneata";1982;"1312101580";-45,9971;167,2926
1;"Coprosma cuneata";1982;"1312101610";-45,9971;167,2902
1;"Coprosma cuneata";1982;"1312101647";-45,997;167,289
1;"Coprosma cuneata";1982;"1312101681";-46,0254;167,1889
1;"Coprosma cuneata";1982;"1312101683";-46,027;167,1887
1;"Coprosma cuneata";1982;"1312101732";-46,0237;167,1878
1;"Coprosma cuneata";1982;"1312101800";-45,8999;167,1573
1;"Coprosma cuneata";1982;"1312101819";-45,8613;167,138
1;"Coprosma cuneata";1982;"1312101842";-45,998;167,2488
1;"Coprosma cuneata";1982;"1312101904";-45,9964;167,2513
1;"Coprosma cuneata";1982;"1312101914";-45,9972;167,2501
1;"Coprosma cuneata";1982;"1312101978";-45,9684;167,2287
1;"Coprosma cuneata";1982;"1312101997";-45,9969;167,2206
1;"Coprosma cuneata";1982;"1312102034";-45,968;167,2157
1;"Coprosma cuneata";1982;"1312102144";-45,9994;167,2204
1;"Coprosma cuneata";1982;"1312102203";-45,9856;167,2026
1;"Coprosma cuneata";1982;"1312102216";-45,984;167,2039
1;"Coprosma cuneata";1982;"1312102277";-45,9871;167,2001
1;"Coprosma cuneata";1982;"1312102293";-45,9182;167,183
1;"Coprosma cuneata";1982;"1312102356";-45,9061;167,1262
1;"Coprosma cuneata";1982;"1312102363";-45,9172;167,1796
1;"Coprosma cuneata";1982;"1312102434";-45,9757;167,1585
1;"Coprosma cuneata";1982;"1312102496";-45,975;167,1621
1;"Coprosma cuneata";1982;"1312102541";-45,9211;167,1722
1;"Coprosma cuneata";1982;"1312102655";-45,9068;167,1226
1;"Coprosma cuneata";1982;"1312102671";-45,9265;167,2083
1;"Coprosma cuneata";1982;"1312102704";-45,9282;167,2082
1;"Coprosma cuneata";1982;"1312102813";-45,9216;167,2087
1;"Coprosma cuneata";1982;"1312102865";-46,0171;167,2769
1;"Coprosma cuneata";1982;"1312105271";-45,7664;167,2171
1;"Coprosma cuneata";1982;"1312105288";-45,765;167,2219
1;"Coprosma cuneata";1981;"1312154178";-45,7415;167,2531
1;"Coprosma cuneata";1981;"1312154198";-45,7411;167,2449
1;"Coprosma cuneata";1981;"1312154263";-45,7566;167,2625
1;"Coprosma cuneata";1981;"1312154286";-45,7583;167,2636
1;"Coprosma cuneata";1981;"1312154328";-45,7471;167,2938
1;"Coprosma cuneata";1981;"1312154355";-45,7446;167,294
1;"Coprosma cuneata";1981;"1312154389";-45,7562;167,319
1;"Coprosma cuneata";1981;"1312154430";-45,7581;167,3247
1;"Coprosma cuneata";1981;"1312154431";-45,7582;167,3271
1;"Coprosma cuneata";1981;"1312154497";-45,7335;167,3265
1;"Coprosma cuneata";1981;"1312154585";-45,7339;167,3171
1;"Coprosma cuneata";1981;"1312154605";-45,734;167,3195
1;"Coprosma cuneata";1981;"1312154627";-45,7895;167,3059
1;"Coprosma cuneata";1981;"1312154639";-45,7911;167,3046
1;"Coprosma cuneata";1981;"1312154694";-45,7935;167,3032
1;"Coprosma cuneata";1981;"1312154730";-45,7855;167,3332
1;"Coprosma cuneata";1981;"1312154754";-45,7856;167,3356
1;"Coprosma cuneata";1981;"1312154814";-45,7849;167,3392
1;"Coprosma cuneata";1981;"1312154846";-45,785;167,3415
1;"Coprosma cuneata";1981;"1312154892";-45,7553;167,3167
1;"Coprosma cuneata";1981;"1312154925";-45,7562;167,3178
1;"Coprosma cuneata";1981;"1312154984";-45,6878;167,3147
1;"Coprosma cuneata";1981;"1312155203";-45,696;167,2472
1;"Coprosma cuneata";1981;"1312155418";-45,6903;167,3169
1;"Coprosma cuneata";1981;"1312155458";-45,7051;167,3615
1;"Coprosma cuneata";1981;"1312155475";-45,7022;167,2807
1;"Coprosma cuneata";1981;"1312155524";-45,7046;167,2806
1;"Coprosma cuneata";1981;"1312155604";-45,7088;167,2814
1;"Coprosma cuneata";1981;"1312155637";-45,7095;167,2802
1;"Coprosma cuneata";1981;"1312155684";-45,7015;167,242
1;"Coprosma cuneata";1981;"1312155709";-45,6999;167,2422
1;"Coprosma cuneata";1981;"1312155718";-45,6991;167,2434
1;"Coprosma cuneata";1981;"1312155743";-45,7428;167,3576
1;"Coprosma cuneata";1981;"1312155812";-45,7108;167,3353
1;"Coprosma cuneata";1981;"1312155828";-45,7107;167,3329
1;"Coprosma cuneata";1981;"1312155848";-45,7114;167,3294
1;"Coprosma cuneata";1981;"1312155888";-45,7056;167,3521
1;"Coprosma cuneata";1981;"1312155900";-45,7055;167,3486
1;"Coprosma cuneata";1981;"1312155955";-45,7057;167,3545
1;"Coprosma cuneata";1979;"1312194239";-46,1406;167,3202
1;"Coprosma cuneata";1979;"1312194315";-46,1368;167,3316
1;"Coprosma cuneata";1979;"1312194350";-46,1399;167,3255
1;"Coprosma cuneata";1979;"1312194364";-46,137;167,3375
1;"Coprosma cuneata";1978;"1312212125";-46,137;167,1612
1;"Coprosma cuneata";1978;"1312212318";-46,0734;167,1768
1;"Coprosma cuneata";1978;"1312212325";-46,072;167,1817
1;"Coprosma cuneata";1978;"1312212368";-46,0727;167,1792
1;"Coprosma cuneata";1978;"1312212385";-46,0705;167,1865
1;"Coprosma cuneata";1978;"1312212531";-46,1564;167,194
1;"Coprosma cuneata";1978;"1312212551";-46,1572;167,1951
1;"Coprosma cuneata";1978;"1312212571";-46,1616;167,2007
1;"Coprosma cuneata";1978;"1312212643";-46,1624;167,2018
1;"Coprosma cuneata";1978;"1312212967";-46,1504;167,1874
1;"Coprosma cuneata";1978;"1312212999";-46,153;167,1907
