"cell_id";"species";"year";"gbifID";"protocol";"institutionCode";"lat";"lon";"crs"
2;"Coprosma propinqua";2021;"3044816018";"DWC_ARCHIVE";"iNaturalist";6664211,51848723;2599014,98084766;"NZMG"
2;"Coprosma propinqua";2020;"3008385588";"DWC_ARCHIVE";"iNaturalist";6664072,15234685;2598996,58765712;"NZMG"
4;"Coprosma propinqua";2020;"2898265976";"DWC_ARCHIVE";"iNaturalist";6649069,00587966;2587621,31870668;"NZMG"
4;"Coprosma propinqua";2018;"1986577021";"DWC_ARCHIVE";"iNaturalist";6640891,34009056;2563959,79359383;"NZMG"
5;"Coprosma propinqua";2021;"3044770189";"DWC_ARCHIVE";"iNaturalist";6611936,31738109;2631586,8743915;"NZMG"
5;"Coprosma propinqua";2020;"2984527011";"DWC_ARCHIVE";"iNaturalist";6619913,38406498;2620719,27872816;"NZMG"
5;"Coprosma propinqua";2018;"1880524158";"DWC_ARCHIVE";"iNaturalist";6619942,97839397;2620908,20971975;"NZMG"
5;"Coprosma propinqua";2018;"1913663702";"DWC_ARCHIVE";"iNaturalist";6648150,67608744;2630336,56855644;"NZMG"
5;"Coprosma propinqua";2018;"2243295179";"DWC_ARCHIVE";"MeiseBG";6648159,71913298;2630333,16678283;"NZMG"
7;"Coprosma propinqua";2020;"2576441148";"DWC_ARCHIVE";"iNaturalist";6511946,61687103;2631102,40145272;"NZMG"
7;"Coprosma propinqua";2019;"2311346315";"DWC_ARCHIVE";"iNaturalist";6512120,61188201;2629786,10086015;"NZMG"
7;"Coprosma propinqua";2018;"1841309559";"DWC_ARCHIVE";"iNaturalist";6511925,94860378;2631014,52879016;"NZMG"
7;"Coprosma propinqua";2017;"2252085384";"DWC_ARCHIVE";"iNaturalist";6474237,18539573;2686093,58937099;"NZMG"
9;"Coprosma propinqua";2021;"3039225580";"DWC_ARCHIVE";"iNaturalist";6420848,91137808;2697079,798433;"NZMG"
9;"Coprosma propinqua";2019;"2242883875";"DWC_ARCHIVE";"iNaturalist";6449514,11908152;2657311,76494596;"NZMG"
9;"Coprosma propinqua";2018;"1836595285";"DWC_ARCHIVE";"iNaturalist";6446669,90092513;2680681,35211869;"NZMG"
10;"Coprosma propinqua";2022;"3456895469";"DWC_ARCHIVE";"iNaturalist";6444354,90433646;2716543,32871284;"NZMG"
10;"Coprosma propinqua";2022;"3772938705";"DWC_ARCHIVE";"iNaturalist";6389480,51884971;2706156,05662301;"NZMG"
10;"Coprosma propinqua";2022;"3773213898";"DWC_ARCHIVE";"iNaturalist";6389480,51884971;2706156,05662301;"NZMG"
10;"Coprosma propinqua";2021;"3039295047";"DWC_ARCHIVE";"iNaturalist";6359234,96953136;2714218,27140833;"NZMG"
10;"Coprosma propinqua";2021;"3039448061";"DWC_ARCHIVE";"iNaturalist";6358619,12367079;2714009,42843043;"NZMG"
10;"Coprosma propinqua";2021;"3039469002";"DWC_ARCHIVE";"iNaturalist";6358814,51539374;2714017,65358734;"NZMG"
10;"Coprosma propinqua";2021;"3044688339";"DWC_ARCHIVE";"iNaturalist";6406799,94732122;2732484,21890657;"NZMG"
10;"Coprosma propinqua";2021;"3355082096";"DWC_ARCHIVE";"iNaturalist";6433238,49464796;2707218,94305992;"NZMG"
10;"Coprosma propinqua";2021;"3355725968";"DWC_ARCHIVE";"iNaturalist";6456336,09595849;2714529,20634067;"NZMG"
10;"Coprosma propinqua";2021;"3455455618";"DWC_ARCHIVE";"iNaturalist";6379365,07668388;2753193,40901811;"NZMG"
10;"Coprosma propinqua";2019;"2429513568";"DWC_ARCHIVE";"iNaturalist";6416279,52159102;2732824,86489861;"NZMG"
10;"Coprosma propinqua";2017;"1455582408";"DWC_ARCHIVE";"iNaturalist";6382108,03231685;2764650,73257246;"NZMG"
11;"Coprosma propinqua";2022;"3773031427";"DWC_ARCHIVE";"iNaturalist";6360863,74489704;2842857,51276475;"NZMG"
11;"Coprosma propinqua";2019;"2234794571";"DWC_ARCHIVE";"iNaturalist";6377974,70369103;2808071,43717037;"NZMG"
13;"Coprosma propinqua";2021;"3457093306";"DWC_ARCHIVE";"iNaturalist";6349581,53812838;2687627,16194142;"NZMG"
13;"Coprosma propinqua";2020;"2802767870";"DWC_ARCHIVE";"iNaturalist";6340946,09015665;2675983,3024105;"NZMG"
13;"Coprosma propinqua";2019;"2451714335";"DWC_ARCHIVE";"iNaturalist";6315906,28407305;2690357,66296132;"NZMG"
