"grid_id";"species";"year";"gbifID";"lat";"lon"
99;"Dracaena draco";2017;"2456711709";-39,0575;174,084444
102;"Dracaena draco";2016;"2422848066";-39,483003;176,903295
115;"Dracaena draco";2021;"3307428820";-37,989135;177,383975
116;"Dracaena draco";1965;"1123025392";-38,56;177,72
126;"Dracaena draco";2021;"3117828693";-36,865321;174,856562
126;"Dracaena draco";2021;"3398891056";-36,890962;174,451481
126;"Dracaena draco";2020;"2823075545";-36,7953;174,722764
126;"Dracaena draco";2020;"3031857122";-36,790368;174,715306
126;"Dracaena draco";2019;"2456494946";-36,790183;174,715486
126;"Dracaena draco";2019;"2456495205";-36,790368;174,715306
126;"Dracaena draco";2019;"2456495209";-36,790368;174,715306
126;"Dracaena draco";2019;"2456495210";-36,790368;174,715306
126;"Dracaena draco";2019;"2456495288";-36,790368;174,715306
126;"Dracaena draco";2019;"2456496111";-36,790368;174,715306
126;"Dracaena draco";2019;"2465216586";-36,790505;174,715542
126;"Dracaena draco";2019;"2456497471";-36,78543;174,706528
126;"Dracaena draco";2019;"2456497472";-36,790368;174,715306
126;"Dracaena draco";2019;"2456518433";-36,79022;174,715047
126;"Dracaena draco";2018;"1931538872";-36,813238;174,732226
126;"Dracaena draco";2018;"2456493814";-36,785431;174,706528
126;"Dracaena draco";2017;"1584407245";-36,924929;174,755441
126;"Dracaena draco";2017;"1703155756";-36,790338;174,753124
126;"Dracaena draco";2008;"1091183555";-36,881677;174,707536
126;"Dracaena draco";NA;"1843420889";-36,883056;174,707778
126;"Dracaena draco";NA;"1843443011";-36,9;174,833889
126;"Dracaena draco";NA;"1843445037";-36,862778;174,828333
126;"Dracaena draco";NA;"1843445048";-36,856111;174,813611
126;"Dracaena draco";NA;"1843445511";-36,748889;174,761667
126;"Dracaena draco";NA;"1843473118";-36,821667;174,715278
126;"Dracaena draco";NA;"1897628491";-36,883333;174,716667
126;"Dracaena draco";NA;"1897710669";-36,75;174,75
126;"Dracaena draco";NA;"1897725228";-36,75;174,75
126;"Dracaena draco";NA;"1897829739";-36,860278;174,783333
127;"Dracaena draco";2018;"3302246321";-37,666257;176,197022
127;"Dracaena draco";NA;"1843426386";-37,401667;175,939722
139;"Dracaena draco";NA;"1897790409";-35,91;174,46
139;"Dracaena draco";NA;"2883352347";-36,104;174,584083
139;"Dracaena draco";NA;"3387570368";-36,43;174,711389
151;"Dracaena draco";NA;"1843429019";-35,116667;173,916667
