"cell_id";"species";"year";"gbifID";"protocol";"institutionCode";"lat";"lon";"crs"
2;"Ileostylus micranthus";2015;"1135214365";"DWC_ARCHIVE";"iNaturalist";6681610,48501558;2561013,00280675;"NZMG"
7;"Ileostylus micranthus";2021;"3109189803";"DWC_ARCHIVE";"iNaturalist";6511741,0705326;2631033,11684175;"NZMG"
7;"Ileostylus micranthus";2020;"2576274276";"DWC_ARCHIVE";"iNaturalist";6511732,07509979;2631040,31118398;"NZMG"
7;"Ileostylus micranthus";2019;"2397550548";"DWC_ARCHIVE";"iNaturalist";6511739,27635847;2631034,25146962;"NZMG"
7;"Ileostylus micranthus";2019;"2429461333";"DWC_ARCHIVE";"iNaturalist";6481665,45935357;2657006,41430749;"NZMG"
7;"Ileostylus micranthus";2018;"1836610966";"DWC_ARCHIVE";"iNaturalist";6476083,24689691;2647986,56583315;"NZMG"
7;"Ileostylus micranthus";2018;"1836654900";"DWC_ARCHIVE";"iNaturalist";6476174,75167669;2648002,40032427;"NZMG"
7;"Ileostylus micranthus";2018;"1838045058";"DWC_ARCHIVE";"iNaturalist";6521796,20337595;2659302,30381771;"NZMG"
7;"Ileostylus micranthus";2018;"1841309585";"DWC_ARCHIVE";"iNaturalist";6505677,44576039;2641327,31701904;"NZMG"
7;"Ileostylus micranthus";2018;"1950030444";"DWC_ARCHIVE";"iNaturalist";6515133,68006244;2664411,78984186;"NZMG"
7;"Ileostylus micranthus";2017;"1453438712";"DWC_ARCHIVE";"iNaturalist";6471870,32197396;2647865,07278328;"NZMG"
7;"Ileostylus micranthus";2014;"2864820078";"DWC_ARCHIVE";"iNaturalist";6509343,52988694;2679636,24951852;"NZMG"
7;"Ileostylus micranthus";2013;"1038307816";"DWC_ARCHIVE";"iNaturalist";6463789,71600047;2679991,15370711;"NZMG"
8;"Ileostylus micranthus";2020;"2988485953";"DWC_ARCHIVE";"iNaturalist";6479360,26850733;2741544,08945848;"NZMG"
8;"Ileostylus micranthus";2020;"2988672659";"DWC_ARCHIVE";"iNaturalist";6477989,88183709;2737124,35506692;"NZMG"
8;"Ileostylus micranthus";2019;"2311349039";"DWC_ARCHIVE";"iNaturalist";6478012,20441013;2737127,94048581;"NZMG"
8;"Ileostylus micranthus";2019;"2423013932";"DWC_ARCHIVE";"iNaturalist";6478028,5499534;2737188,79674023;"NZMG"
8;"Ileostylus micranthus";2017;"1640126544";"DWC_ARCHIVE";"iNaturalist";6540788,82307843;2736970,70433489;"NZMG"
9;"Ileostylus micranthus";2021;"3307357623";"DWC_ARCHIVE";"iNaturalist";6358227,94143658;2676822,7249783;"NZMG"
9;"Ileostylus micranthus";2020;"2580077114";"DWC_ARCHIVE";"iNaturalist";6358221,59038379;2676798,33050743;"NZMG"
9;"Ileostylus micranthus";2020;"2580139331";"DWC_ARCHIVE";"iNaturalist";6358224,47515077;2676808,58794358;"NZMG"
10;"Ileostylus micranthus";2020;"2992844985";"DWC_ARCHIVE";"iNaturalist";6449870,00266591;2714274,00881703;"NZMG"
13;"Ileostylus micranthus";2017;"1802619085";"DWC_ARCHIVE";"iNaturalist";6324088,39876554;2692092,68748789;"NZMG"
13;"Ileostylus micranthus";2017;"1802619089";"DWC_ARCHIVE";"iNaturalist";6324088,52049909;2692073,52321212;"NZMG"
14;"Ileostylus micranthus";2012;"1099969220";"DWC_ARCHIVE";"iNaturalist";6351713,59272957;2733900,43932069;"NZMG"
