"grid_id";"species";"year";"gbifID";"lat";"lon"
1;"Muehlenbeckia australis";1962;"1091162991";-45,695806;166,948712
1;"Muehlenbeckia australis";1962;"1091208562";-45,695806;166,948712
2;"Muehlenbeckia australis";2021;"3321127238";-46,144839;168,322463
2;"Muehlenbeckia australis";2021;"3391373591";-46,538006;168,281085
2;"Muehlenbeckia australis";2021;"3391706840";-46,432629;168,4202
2;"Muehlenbeckia australis";2021;"3415652037";-46,375738;168,408134
2;"Muehlenbeckia australis";2020;"2596144189";-46,444658;168,318326
2;"Muehlenbeckia australis";2020;"2597681963";-46,441187;168,278139
2;"Muehlenbeckia australis";2020;"2597736942";-46,441187;168,278139
2;"Muehlenbeckia australis";2020;"2620039098";-46,459113;168,269653
2;"Muehlenbeckia australis";2020;"2814050075";-46,450379;168,272119
2;"Muehlenbeckia australis";2019;"2013696829";-46,328035;168,020122
2;"Muehlenbeckia australis";2019;"2236216998";-46,516726;168,255896
2;"Muehlenbeckia australis";2019;"2543037669";-46,029089;167,963326
2;"Muehlenbeckia australis";2017;"1677296668";-46,471643;168,292889
2;"Muehlenbeckia australis";2017;"1806329537";-46,471598;168,292797
2;"Muehlenbeckia australis";2017;"1850993931";-46,482322;168,297755
2;"Muehlenbeckia australis";2017;"1850993932";-46,471389;168,292297
2;"Muehlenbeckia australis";2015;"1850902947";-46,448571;168,322882
2;"Muehlenbeckia australis";1949;"1313238696";-45,8542;167,636
2;"Muehlenbeckia australis";1949;"1313238710";-45,854;167,6301
2;"Muehlenbeckia australis";1949;"1313238820";-45,8109;167,6214
2;"Muehlenbeckia australis";1949;"1313238844";-45,8396;167,6417
2;"Muehlenbeckia australis";1946;"1313311820";-46,2596;167,9587
3;"Muehlenbeckia australis";2021;"3398856388";-45,994693;168,766596
3;"Muehlenbeckia australis";2020;"2999110677";-45,994809;168,766557
3;"Muehlenbeckia australis";2019;"2234778978";-46,228333;168,435833
3;"Muehlenbeckia australis";2019;"2423110386";-46,057277;168,882509
3;"Muehlenbeckia australis";2007;"176023364";-46,206952;168,440067
3;"Muehlenbeckia australis";2007;"176025726";-46,206952;168,440067
3;"Muehlenbeckia australis";1986;"1312464335";-46,067;168,5625
3;"Muehlenbeckia australis";1986;"1312464358";-46,098;168,6689
3;"Muehlenbeckia australis";1986;"1312464535";-46,1159;168,617
3;"Muehlenbeckia australis";1986;"1312464691";-46,0019;168,4396
3;"Muehlenbeckia australis";1978;"1312226145";-46,3923;169,4261
3;"Muehlenbeckia australis";1978;"1312226167";-46,3931;169,4261
3;"Muehlenbeckia australis";1978;"1312226399";-46,3948;169,426
4;"Muehlenbeckia australis";2020;"2580183492";-45,832349;170,357006
4;"Muehlenbeckia australis";2020;"2851070448";-45,982063;170,08815
4;"Muehlenbeckia australis";2020;"2963834042";-46,552508;169,471695
4;"Muehlenbeckia australis";2020;"2988661596";-46,29639;169,729648
4;"Muehlenbeckia australis";2019;"1986583850";-46,559699;169,468191
4;"Muehlenbeckia australis";2019;"1990469690";-46,561225;169,474095
4;"Muehlenbeckia australis";2019;"1990470852";-46,56312;169,473056
4;"Muehlenbeckia australis";2019;"1990602583";-46,559664;169,468551
4;"Muehlenbeckia australis";2019;"2422823302";-46,559686;169,468287
4;"Muehlenbeckia australis";2019;"2006077154";-46,559651;169,468542
4;"Muehlenbeckia australis";2019;"2235508530";-45,982372;170,08868
4;"Muehlenbeckia australis";2019;"2456539889";-45,96134;170,296927
4;"Muehlenbeckia australis";2019;"2574292460";-46,44616;169,810086
4;"Muehlenbeckia australis";2018;"1806374396";-45,847775;170,242614
4;"Muehlenbeckia australis";2018;"1880553298";-45,847458;170,242686
4;"Muehlenbeckia australis";2017;"1702486021";-45,955471;169,828573
4;"Muehlenbeckia australis";2015;"1212001933";-46,447049;169,812573
4;"Muehlenbeckia australis";1986;"1312455979";-46,3911;169,5439
4;"Muehlenbeckia australis";1986;"1312456089";-46,3878;169,5452
4;"Muehlenbeckia australis";1985;"1091183501";-46,53649;169,604803
